len(selected_patterns):1; curr precision: 0.9958; curr recall: 0.0108; curr f1: 0.0214; curr tp: 1178; curr fp: 5; curr fn: 107973; curr tn: 1563173; precision of pattern: 0.9963; tp, abs. recall of pattern: 1178; pattern: _OTOKEN_perfect; pattern type: l0
len(selected_patterns):179; curr precision: 0.9621; curr recall: 0.0894; curr f1: 0.1636; curr tp: 9757; curr fp: 384; curr fn: 99394; curr tn: 1562794; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_zippy; pattern type: l0
len(selected_patterns):180; curr precision: 0.9621; curr recall: 0.0895; curr f1: 0.1638; curr tp: 9769; curr fp: 385; curr fn: 99382; curr tn: 1562793; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_pristine; pattern type: l0
len(selected_patterns):181; curr precision: 0.9621; curr recall: 0.0896; curr f1: 0.1639; curr tp: 9781; curr fp: 385; curr fn: 99370; curr tn: 1562793; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_unpleasant; pattern type: l0
len(selected_patterns):182; curr precision: 0.9621; curr recall: 0.0897; curr f1: 0.1641; curr tp: 9793; curr fp: 386; curr fn: 99358; curr tn: 1562792; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_flawed; pattern type: l0
len(selected_patterns):183; curr precision: 0.962; curr recall: 0.0898; curr f1: 0.1643; curr tp: 9805; curr fp: 387; curr fn: 99346; curr tn: 1562791; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_non-issue; pattern type: l0
len(selected_patterns):184; curr precision: 0.962; curr recall: 0.0899; curr f1: 0.1645; curr tp: 9817; curr fp: 388; curr fn: 99334; curr tn: 1562790; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_thicker; pattern type: l0
len(selected_patterns):185; curr precision: 0.9616; curr recall: 0.09; curr f1: 0.1647; curr tp: 9829; curr fp: 392; curr fn: 99322; curr tn: 1562786; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_warped; pattern type: l0
len(selected_patterns):186; curr precision: 0.9615; curr recall: 0.0902; curr f1: 0.1648; curr tp: 9840; curr fp: 394; curr fn: 99311; curr tn: 1562784; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_increases; pattern type: l0
len(selected_patterns):187; curr precision: 0.9615; curr recall: 0.0903; curr f1: 0.165; curr tp: 9851; curr fp: 394; curr fn: 99300; curr tn: 1562784; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_inaccurate; pattern type: l0
len(selected_patterns):188; curr precision: 0.9616; curr recall: 0.0904; curr f1: 0.1652; curr tp: 9862; curr fp: 394; curr fn: 99289; curr tn: 1562784; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_inconsistent; pattern type: l0
len(selected_patterns):189; curr precision: 0.9615; curr recall: 0.0905; curr f1: 0.1654; curr tp: 9873; curr fp: 395; curr fn: 99278; curr tn: 1562783; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_scary; pattern type: l0
len(selected_patterns):190; curr precision: 0.9616; curr recall: 0.0906; curr f1: 0.1655; curr tp: 9884; curr fp: 395; curr fn: 99267; curr tn: 1562783; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_innovative; pattern type: l0
len(selected_patterns):191; curr precision: 0.9614; curr recall: 0.0907; curr f1: 0.1657; curr tp: 9895; curr fp: 397; curr fn: 99256; curr tn: 1562781; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_eliminated; pattern type: l0
len(selected_patterns):192; curr precision: 0.9613; curr recall: 0.0908; curr f1: 0.1659; curr tp: 9906; curr fp: 399; curr fn: 99245; curr tn: 1562779; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_lame; pattern type: l0
len(selected_patterns):193; curr precision: 0.9613; curr recall: 0.0909; curr f1: 0.166; curr tp: 9917; curr fp: 399; curr fn: 99234; curr tn: 1562779; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_disgusted; pattern type: l0
len(selected_patterns):194; curr precision: 0.9614; curr recall: 0.091; curr f1: 0.1662; curr tp: 9928; curr fp: 399; curr fn: 99223; curr tn: 1562779; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_shines; pattern type: l0
len(selected_patterns):195; curr precision: 0.9613; curr recall: 0.0911; curr f1: 0.1664; curr tp: 9939; curr fp: 400; curr fn: 99212; curr tn: 1562778; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_exceeds; pattern type: l0
len(selected_patterns):196; curr precision: 0.9614; curr recall: 0.0912; curr f1: 0.1665; curr tp: 9950; curr fp: 400; curr fn: 99201; curr tn: 1562778; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_atrocious; pattern type: l0
len(selected_patterns):197; curr precision: 0.9614; curr recall: 0.0913; curr f1: 0.1667; curr tp: 9961; curr fp: 400; curr fn: 99190; curr tn: 1562778; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_abysmal; pattern type: l0
len(selected_patterns):198; curr precision: 0.9614; curr recall: 0.0914; curr f1: 0.1669; curr tp: 9972; curr fp: 400; curr fn: 99179; curr tn: 1562778; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_audible; pattern type: l0
len(selected_patterns):199; curr precision: 0.9615; curr recall: 0.0915; curr f1: 0.167; curr tp: 9983; curr fp: 400; curr fn: 99168; curr tn: 1562778; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_clearer; pattern type: l0
len(selected_patterns):200; curr precision: 0.9614; curr recall: 0.0916; curr f1: 0.1672; curr tp: 9994; curr fp: 401; curr fn: 99157; curr tn: 1562777; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_differently; pattern type: l0
len(selected_patterns):201; curr precision: 0.9611; curr recall: 0.0917; curr f1: 0.1674; curr tp: 10005; curr fp: 405; curr fn: 99146; curr tn: 1562773; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_lagged; pattern type: l0
len(selected_patterns):202; curr precision: 0.961; curr recall: 0.0918; curr f1: 0.1675; curr tp: 10016; curr fp: 406; curr fn: 99135; curr tn: 1562772; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_refreshing; pattern type: l0
len(selected_patterns):203; curr precision: 0.9611; curr recall: 0.0919; curr f1: 0.1677; curr tp: 10027; curr fp: 406; curr fn: 99124; curr tn: 1562772; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_aggravating; pattern type: l0
len(selected_patterns):204; curr precision: 0.961; curr recall: 0.092; curr f1: 0.1679; curr tp: 10038; curr fp: 407; curr fn: 99113; curr tn: 1562771; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_disconnects; pattern type: l0
len(selected_patterns):205; curr precision: 0.9611; curr recall: 0.0921; curr f1: 0.168; curr tp: 10049; curr fp: 407; curr fn: 99102; curr tn: 1562771; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_streamlined; pattern type: l0
len(selected_patterns):206; curr precision: 0.961; curr recall: 0.0922; curr f1: 0.1682; curr tp: 10060; curr fp: 408; curr fn: 99091; curr tn: 1562770; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_intact; pattern type: l0
len(selected_patterns):207; curr precision: 0.9611; curr recall: 0.0923; curr f1: 0.1684; curr tp: 10071; curr fp: 408; curr fn: 99080; curr tn: 1562770; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_distracting; pattern type: l0
len(selected_patterns):208; curr precision: 0.9611; curr recall: 0.0924; curr f1: 0.1685; curr tp: 10082; curr fp: 408; curr fn: 99069; curr tn: 1562770; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_weakest; pattern type: l0
len(selected_patterns):209; curr precision: 0.9611; curr recall: 0.0925; curr f1: 0.1687; curr tp: 10093; curr fp: 408; curr fn: 99058; curr tn: 1562770; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_blocked; pattern type: l0
len(selected_patterns):210; curr precision: 0.9612; curr recall: 0.0926; curr f1: 0.1689; curr tp: 10104; curr fp: 408; curr fn: 99047; curr tn: 1562770; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_colorful; pattern type: l0
len(selected_patterns):211; curr precision: 0.961; curr recall: 0.0927; curr f1: 0.169; curr tp: 10114; curr fp: 411; curr fn: 99037; curr tn: 1562767; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_weakness; pattern type: l0
len(selected_patterns):212; curr precision: 0.961; curr recall: 0.0928; curr f1: 0.1692; curr tp: 10124; curr fp: 411; curr fn: 99027; curr tn: 1562767; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_improving; pattern type: l0
len(selected_patterns):213; curr precision: 0.9605; curr recall: 0.0928; curr f1: 0.1693; curr tp: 10134; curr fp: 417; curr fn: 99017; curr tn: 1562761; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_adore; pattern type: l0
len(selected_patterns):214; curr precision: 0.9605; curr recall: 0.0929; curr f1: 0.1695; curr tp: 10144; curr fp: 417; curr fn: 99007; curr tn: 1562761; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_excellently; pattern type: l0
len(selected_patterns):215; curr precision: 0.9604; curr recall: 0.093; curr f1: 0.1696; curr tp: 10154; curr fp: 419; curr fn: 98997; curr tn: 1562759; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_boring; pattern type: l0
len(selected_patterns):216; curr precision: 0.9603; curr recall: 0.0931; curr f1: 0.1698; curr tp: 10164; curr fp: 420; curr fn: 98987; curr tn: 1562758; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_shattered; pattern type: l0
len(selected_patterns):217; curr precision: 0.9603; curr recall: 0.0932; curr f1: 0.1699; curr tp: 10174; curr fp: 421; curr fn: 98977; curr tn: 1562757; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_busted; pattern type: l0
len(selected_patterns):218; curr precision: 0.9601; curr recall: 0.0933; curr f1: 0.1701; curr tp: 10184; curr fp: 423; curr fn: 98967; curr tn: 1562755; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_optimal; pattern type: l0
len(selected_patterns):219; curr precision: 0.9602; curr recall: 0.0934; curr f1: 0.1702; curr tp: 10194; curr fp: 423; curr fn: 98957; curr tn: 1562755; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_ample; pattern type: l0
len(selected_patterns):220; curr precision: 0.9598; curr recall: 0.0935; curr f1: 0.1704; curr tp: 10204; curr fp: 427; curr fn: 98947; curr tn: 1562751; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_kills; pattern type: l0
len(selected_patterns):221; curr precision: 0.9599; curr recall: 0.0936; curr f1: 0.1705; curr tp: 10214; curr fp: 427; curr fn: 98937; curr tn: 1562751; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_dims; pattern type: l0
len(selected_patterns):222; curr precision: 0.9595; curr recall: 0.0937; curr f1: 0.1707; curr tp: 10224; curr fp: 432; curr fn: 98927; curr tn: 1562746; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_affected; pattern type: l0
len(selected_patterns):223; curr precision: 0.9594; curr recall: 0.0938; curr f1: 0.1708; curr tp: 10234; curr fp: 433; curr fn: 98917; curr tn: 1562745; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_trivial; pattern type: l0
len(selected_patterns):224; curr precision: 0.9594; curr recall: 0.0939; curr f1: 0.171; curr tp: 10244; curr fp: 434; curr fn: 98907; curr tn: 1562744; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_exciting; pattern type: l0
len(selected_patterns):225; curr precision: 0.9594; curr recall: 0.0939; curr f1: 0.1711; curr tp: 10254; curr fp: 434; curr fn: 98897; curr tn: 1562744; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_funky; pattern type: l0
len(selected_patterns):226; curr precision: 0.9594; curr recall: 0.094; curr f1: 0.1713; curr tp: 10264; curr fp: 434; curr fn: 98887; curr tn: 1562744; precision of pattern: 1.0; tp, abs. recall of pattern: 10; pattern: _OTOKEN_clever; pattern type: l0
len(selected_patterns):227; curr precision: 0.9721; curr recall: 0.1469; curr f1: 0.2552; curr tp: 16034; curr fp: 460; curr fn: 93117; curr tn: 1562718; precision of pattern: 0.9905; tp, abs. recall of pattern: 5770; pattern: _OTOKEN_great; pattern type: l0
len(selected_patterns):228; curr precision: 0.9735; curr recall: 0.1634; curr f1: 0.2798; curr tp: 17833; curr fp: 486; curr fn: 91318; curr tn: 1562692; precision of pattern: 0.9858; tp, abs. recall of pattern: 1799; pattern: _OTOKEN_nice; pattern type: l0
len(selected_patterns):229; curr precision: 0.9743; curr recall: 0.1777; curr f1: 0.3006; curr tp: 19397; curr fp: 511; curr fn: 89754; curr tn: 1562667; precision of pattern: 0.9919; tp, abs. recall of pattern: 1564; pattern: _OTOKEN_easy; pattern type: l0
len(selected_patterns):230; curr precision: 0.9745; curr recall: 0.1874; curr f1: 0.3143; curr tp: 20454; curr fp: 535; curr fn: 88697; curr tn: 1562643; precision of pattern: 0.9877; tp, abs. recall of pattern: 1057; pattern: _OTOKEN_fine; pattern type: l0
len(selected_patterns):231; curr precision: 0.9751; curr recall: 0.1924; curr f1: 0.3213; curr tp: 20997; curr fp: 536; curr fn: 88154; curr tn: 1562642; precision of pattern: 0.9938; tp, abs. recall of pattern: 543; pattern: _OTOKEN_awesome; pattern type: l0
len(selected_patterns):232; curr precision: 0.9755; curr recall: 0.1962; curr f1: 0.3267; curr tp: 21420; curr fp: 539; curr fn: 87731; curr tn: 1562639; precision of pattern: 0.9884; tp, abs. recall of pattern: 423; pattern: _OTOKEN_decent; pattern type: l0
len(selected_patterns):233; curr precision: 0.9752; curr recall: 0.1993; curr f1: 0.331; curr tp: 21759; curr fp: 553; curr fn: 87392; curr tn: 1562625; precision of pattern: 0.988; tp, abs. recall of pattern: 339; pattern: _OTOKEN_beautiful; pattern type: l0
len(selected_patterns):234; curr precision: 0.9752; curr recall: 0.2047; curr f1: 0.3384; curr tp: 22348; curr fp: 569; curr fn: 86803; curr tn: 1562609; precision of pattern: 0.98; tp, abs. recall of pattern: 589; pattern: _OTOKEN_faster; pattern type: l0
len(selected_patterns):235; curr precision: 0.975; curr recall: 0.2078; curr f1: 0.3425; curr tp: 22678; curr fp: 581; curr fn: 86473; curr tn: 1562597; precision of pattern: 0.9762; tp, abs. recall of pattern: 330; pattern: _OTOKEN_annoying; pattern type: l0
len(selected_patterns):236; curr precision: 0.9751; curr recall: 0.2103; curr f1: 0.346; curr tp: 22955; curr fp: 587; curr fn: 86196; curr tn: 1562591; precision of pattern: 0.9841; tp, abs. recall of pattern: 277; pattern: _OTOKEN_responsive; pattern type: l0
len(selected_patterns):237; curr precision: 0.9753; curr recall: 0.2125; curr f1: 0.349; curr tp: 23200; curr fp: 588; curr fn: 85951; curr tn: 1562590; precision of pattern: 0.9836; tp, abs. recall of pattern: 245; pattern: _OTOKEN_easier; pattern type: l0
len(selected_patterns):238; curr precision: 0.9753; curr recall: 0.2141; curr f1: 0.3512; curr tp: 23373; curr fp: 593; curr fn: 85778; curr tn: 1562585; precision of pattern: 0.98; tp, abs. recall of pattern: 173; pattern: _OTOKEN_sturdy; pattern type: l0
len(selected_patterns):239; curr precision: 0.9751; curr recall: 0.2151; curr f1: 0.3525; curr tp: 23482; curr fp: 599; curr fn: 85669; curr tn: 1562579; precision of pattern: 0.9762; tp, abs. recall of pattern: 109; pattern: _OTOKEN_impossible; pattern type: l0
len(selected_patterns):240; curr precision: 0.9742; curr recall: 0.236; curr f1: 0.3799; curr tp: 25756; curr fp: 682; curr fn: 83395; curr tn: 1562496; precision of pattern: 0.9685; tp, abs. recall of pattern: 2274; pattern: _OTOKEN_fast; pattern type: l0
len(selected_patterns):241; curr precision: 0.974; curr recall: 0.2398; curr f1: 0.3848; curr tp: 26171; curr fp: 698; curr fn: 82980; curr tn: 1562480; precision of pattern: 0.9688; tp, abs. recall of pattern: 415; pattern: _OTOKEN_disappointed; pattern type: l0
len(selected_patterns):242; curr precision: 0.9739; curr recall: 0.2424; curr f1: 0.3882; curr tp: 26456; curr fp: 709; curr fn: 82695; curr tn: 1562469; precision of pattern: 0.9667; tp, abs. recall of pattern: 285; pattern: _OTOKEN_satisfied; pattern type: l0
len(selected_patterns):243; curr precision: 0.9735; curr recall: 0.2441; curr f1: 0.3904; curr tp: 26646; curr fp: 725; curr fn: 82505; curr tn: 1562453; precision of pattern: 0.973; tp, abs. recall of pattern: 190; pattern: _OTOKEN_loud; pattern type: l0
len(selected_patterns):244; curr precision: 0.9735; curr recall: 0.2455; curr f1: 0.3921; curr tp: 26792; curr fp: 730; curr fn: 82359; curr tn: 1562448; precision of pattern: 0.9688; tp, abs. recall of pattern: 146; pattern: _OTOKEN_helpful; pattern type: l0
len(selected_patterns):245; curr precision: 0.9735; curr recall: 0.2467; curr f1: 0.3936; curr tp: 26923; curr fp: 732; curr fn: 82228; curr tn: 1562446; precision of pattern: 0.9655; tp, abs. recall of pattern: 131; pattern: _OTOKEN_strong; pattern type: l0
len(selected_patterns):246; curr precision: 0.972; curr recall: 0.2874; curr f1: 0.4436; curr tp: 31369; curr fp: 903; curr fn: 77782; curr tn: 1562275; precision of pattern: 0.9642; tp, abs. recall of pattern: 4446; pattern: _OTOKEN_good; pattern type: l0
len(selected_patterns):247; curr precision: 0.971; curr recall: 0.3037; curr f1: 0.4627; curr tp: 33150; curr fp: 990; curr fn: 76001; curr tn: 1562188; precision of pattern: 0.9562; tp, abs. recall of pattern: 1781; pattern: _OTOKEN_better; pattern type: l0
len(selected_patterns):248; curr precision: 0.9711; curr recall: 0.3072; curr f1: 0.4668; curr tp: 33535; curr fp: 998; curr fn: 75616; curr tn: 1562180; precision of pattern: 0.9565; tp, abs. recall of pattern: 385; pattern: _OTOKEN_pleased; pattern type: l0
len(selected_patterns):249; curr precision: 0.9713; curr recall: 0.3097; curr f1: 0.4697; curr tp: 33809; curr fp: 1000; curr fn: 75342; curr tn: 1562178; precision of pattern: 0.9574; tp, abs. recall of pattern: 274; pattern: _OTOKEN_wonderful; pattern type: l0
len(selected_patterns):250; curr precision: 0.9714; curr recall: 0.3122; curr f1: 0.4725; curr tp: 34074; curr fp: 1002; curr fn: 75077; curr tn: 1562176; precision of pattern: 0.9643; tp, abs. recall of pattern: 265; pattern: _OTOKEN_poor; pattern type: l0
len(selected_patterns):251; curr precision: 0.9715; curr recall: 0.3142; curr f1: 0.4748; curr tp: 34294; curr fp: 1006; curr fn: 74857; curr tn: 1562172; precision of pattern: 0.9565; tp, abs. recall of pattern: 220; pattern: _OTOKEN_slower; pattern type: l0
len(selected_patterns):252; curr precision: 0.9714; curr recall: 0.3154; curr f1: 0.4762; curr tp: 34430; curr fp: 1014; curr fn: 74721; curr tn: 1562164; precision of pattern: 0.9643; tp, abs. recall of pattern: 136; pattern: _OTOKEN_sucks; pattern type: l0
len(selected_patterns):253; curr precision: 0.9714; curr recall: 0.3166; curr f1: 0.4776; curr tp: 34560; curr fp: 1017; curr fn: 74591; curr tn: 1562161; precision of pattern: 0.9615; tp, abs. recall of pattern: 130; pattern: _OTOKEN_incredible; pattern type: l0
len(selected_patterns):254; curr precision: 0.9707; curr recall: 0.3176; curr f1: 0.4786; curr tp: 34670; curr fp: 1046; curr fn: 74481; curr tn: 1562132; precision of pattern: 0.963; tp, abs. recall of pattern: 110; pattern: _OTOKEN_warm; pattern type: l0
len(selected_patterns):255; curr precision: 0.9707; curr recall: 0.3186; curr f1: 0.4797; curr tp: 34774; curr fp: 1051; curr fn: 74377; curr tn: 1562127; precision of pattern: 0.9643; tp, abs. recall of pattern: 104; pattern: _OTOKEN_happier; pattern type: l0
len(selected_patterns):256; curr precision: 0.9707; curr recall: 0.3189; curr f1: 0.4801; curr tp: 34810; curr fp: 1051; curr fn: 74341; curr tn: 1562127; precision of pattern: 0.96; tp, abs. recall of pattern: 36; pattern: _OTOKEN_lacking; pattern type: l0
len(selected_patterns):257; curr precision: 0.9701; curr recall: 0.3274; curr f1: 0.4896; curr tp: 35738; curr fp: 1103; curr fn: 73413; curr tn: 1562075; precision of pattern: 0.9515; tp, abs. recall of pattern: 928; pattern: _OTOKEN_slow; pattern type: l0
len(selected_patterns):258; curr precision: 0.9701; curr recall: 0.3296; curr f1: 0.4921; curr tp: 35981; curr fp: 1108; curr fn: 73170; curr tn: 1562070; precision of pattern: 0.9538; tp, abs. recall of pattern: 243; pattern: _OTOKEN_smooth; pattern type: l0
len(selected_patterns):259; curr precision: 0.9698; curr recall: 0.3318; curr f1: 0.4944; curr tp: 36216; curr fp: 1129; curr fn: 72935; curr tn: 1562049; precision of pattern: 0.9508; tp, abs. recall of pattern: 235; pattern: _OTOKEN_stopped; pattern type: l0
len(selected_patterns):260; curr precision: 0.9697; curr recall: 0.3338; curr f1: 0.4966; curr tp: 36435; curr fp: 1139; curr fn: 72716; curr tn: 1562039; precision of pattern: 0.9545; tp, abs. recall of pattern: 219; pattern: _OTOKEN_comfortable; pattern type: l0
len(selected_patterns):261; curr precision: 0.9694; curr recall: 0.335; curr f1: 0.498; curr tp: 36570; curr fp: 1156; curr fn: 72581; curr tn: 1562022; precision of pattern: 0.9459; tp, abs. recall of pattern: 135; pattern: _OTOKEN_friendly; pattern type: l0
len(selected_patterns):262; curr precision: 0.969; curr recall: 0.3359; curr f1: 0.4989; curr tp: 36669; curr fp: 1174; curr fn: 72482; curr tn: 1562004; precision of pattern: 0.9524; tp, abs. recall of pattern: 99; pattern: _OTOKEN_noticeable; pattern type: l0
len(selected_patterns):263; curr precision: 0.9687; curr recall: 0.3368; curr f1: 0.4998; curr tp: 36759; curr fp: 1186; curr fn: 72392; curr tn: 1561992; precision of pattern: 0.9545; tp, abs. recall of pattern: 90; pattern: _OTOKEN_damaged; pattern type: l0
len(selected_patterns):264; curr precision: 0.9686; curr recall: 0.3376; curr f1: 0.5007; curr tp: 36849; curr fp: 1193; curr fn: 72302; curr tn: 1561985; precision of pattern: 0.9524; tp, abs. recall of pattern: 90; pattern: _OTOKEN_downside; pattern type: l0
len(selected_patterns):265; curr precision: 0.9685; curr recall: 0.3383; curr f1: 0.5015; curr tp: 36931; curr fp: 1203; curr fn: 72220; curr tn: 1561975; precision of pattern: 0.9474; tp, abs. recall of pattern: 82; pattern: _OTOKEN_usable; pattern type: l0
len(selected_patterns):266; curr precision: 0.9684; curr recall: 0.3404; curr f1: 0.5038; curr tp: 37158; curr fp: 1214; curr fn: 71993; curr tn: 1561964; precision of pattern: 0.9437; tp, abs. recall of pattern: 227; pattern: _OTOKEN_useful; pattern type: l0
len(selected_patterns):267; curr precision: 0.968; curr recall: 0.3423; curr f1: 0.5058; curr tp: 37367; curr fp: 1234; curr fn: 71784; curr tn: 1561944; precision of pattern: 0.9388; tp, abs. recall of pattern: 209; pattern: _OTOKEN_limited; pattern type: l0
len(selected_patterns):268; curr precision: 0.9681; curr recall: 0.3436; curr f1: 0.5071; curr tp: 37499; curr fp: 1235; curr fn: 71652; curr tn: 1561943; precision of pattern: 0.9412; tp, abs. recall of pattern: 132; pattern: _OTOKEN_frustrating; pattern type: l0
len(selected_patterns):269; curr precision: 0.9678; curr recall: 0.3446; curr f1: 0.5083; curr tp: 37617; curr fp: 1252; curr fn: 71534; curr tn: 1561926; precision of pattern: 0.9355; tp, abs. recall of pattern: 118; pattern: _OTOKEN_handy; pattern type: l0
len(selected_patterns):270; curr precision: 0.9678; curr recall: 0.3456; curr f1: 0.5093; curr tp: 37719; curr fp: 1256; curr fn: 71432; curr tn: 1561922; precision of pattern: 0.9444; tp, abs. recall of pattern: 102; pattern: _OTOKEN_intuitive; pattern type: l0
len(selected_patterns):271; curr precision: 0.9677; curr recall: 0.3462; curr f1: 0.5099; curr tp: 37784; curr fp: 1260; curr fn: 71367; curr tn: 1561918; precision of pattern: 0.9412; tp, abs. recall of pattern: 65; pattern: _OTOKEN_speedy; pattern type: l0
len(selected_patterns):272; curr precision: 0.9677; curr recall: 0.3466; curr f1: 0.5104; curr tp: 37833; curr fp: 1263; curr fn: 71318; curr tn: 1561915; precision of pattern: 0.9444; tp, abs. recall of pattern: 49; pattern: _OTOKEN_drawback; pattern type: l0
len(selected_patterns):273; curr precision: 0.9675; curr recall: 0.35; curr f1: 0.5141; curr tp: 38205; curr fp: 1283; curr fn: 70946; curr tn: 1561895; precision of pattern: 0.9271; tp, abs. recall of pattern: 372; pattern: _OTOKEN_bright; pattern type: l0
len(selected_patterns):274; curr precision: 0.967; curr recall: 0.3518; curr f1: 0.5159; curr tp: 38402; curr fp: 1312; curr fn: 70749; curr tn: 1561866; precision of pattern: 0.9286; tp, abs. recall of pattern: 197; pattern: _OTOKEN_quiet; pattern type: l0
len(selected_patterns):275; curr precision: 0.9668; curr recall: 0.3532; curr f1: 0.5174; curr tp: 38554; curr fp: 1322; curr fn: 70597; curr tn: 1561856; precision of pattern: 0.9259; tp, abs. recall of pattern: 152; pattern: _OTOKEN_negative; pattern type: l0
len(selected_patterns):276; curr precision: 0.9668; curr recall: 0.3543; curr f1: 0.5185; curr tp: 38670; curr fp: 1326; curr fn: 70481; curr tn: 1561852; precision of pattern: 0.9333; tp, abs. recall of pattern: 116; pattern: _OTOKEN_durable; pattern type: l0
len(selected_patterns):277; curr precision: 0.9668; curr recall: 0.3549; curr f1: 0.5192; curr tp: 38738; curr fp: 1329; curr fn: 70413; curr tn: 1561849; precision of pattern: 0.9286; tp, abs. recall of pattern: 68; pattern: _OTOKEN_breeze; pattern type: l0
len(selected_patterns):278; curr precision: 0.9665; curr recall: 0.3554; curr f1: 0.5197; curr tp: 38795; curr fp: 1346; curr fn: 70356; curr tn: 1561832; precision of pattern: 0.9333; tp, abs. recall of pattern: 57; pattern: _OTOKEN_zero; pattern type: l0
len(selected_patterns):279; curr precision: 0.9664; curr recall: 0.3558; curr f1: 0.5201; curr tp: 38836; curr fp: 1351; curr fn: 70315; curr tn: 1561827; precision of pattern: 0.9333; tp, abs. recall of pattern: 41; pattern: _OTOKEN_disabled; pattern type: l0
len(selected_patterns):280; curr precision: 0.9662; curr recall: 0.3562; curr f1: 0.5205; curr tp: 38877; curr fp: 1359; curr fn: 70274; curr tn: 1561819; precision of pattern: 0.9286; tp, abs. recall of pattern: 41; pattern: _OTOKEN_enjoyed; pattern type: l0
len(selected_patterns):281; curr precision: 0.9662; curr recall: 0.3565; curr f1: 0.5208; curr tp: 38908; curr fp: 1363; curr fn: 70243; curr tn: 1561815; precision of pattern: 0.9286; tp, abs. recall of pattern: 31; pattern: _OTOKEN_seamlessly; pattern type: l0
len(selected_patterns):282; curr precision: 0.9662; curr recall: 0.3591; curr f1: 0.5236; curr tp: 39193; curr fp: 1371; curr fn: 69958; curr tn: 1561807; precision of pattern: 0.9153; tp, abs. recall of pattern: 285; pattern: _OTOKEN_impressed; pattern type: l0
