len(selected_patterns):1; curr precision: 1.0; curr recall: 0.0195; curr f1: 0.0383; curr tp: 2387; curr fp: 0; curr fn: 119860; curr tn: 1385277; precision of pattern: 1.0; tp, abs. recall of pattern: 2387; pattern: _OTOKEN_delicious; pattern type: l0
len(selected_patterns):189; curr precision: 0.9794; curr recall: 0.1511; curr f1: 0.2619; curr tp: 18475; curr fp: 388; curr fn: 103772; curr tn: 1384889; precision of pattern: 1.0; tp, abs. recall of pattern: 18; pattern: _OTOKEN_unfriendly; pattern type: l0
len(selected_patterns):190; curr precision: 0.9794; curr recall: 0.1513; curr f1: 0.2621; curr tp: 18492; curr fp: 388; curr fn: 103755; curr tn: 1384889; precision of pattern: 1.0; tp, abs. recall of pattern: 17; pattern: _OTOKEN_addictive; pattern type: l0
len(selected_patterns):191; curr precision: 0.9795; curr recall: 0.1514; curr f1: 0.2623; curr tp: 18509; curr fp: 388; curr fn: 103738; curr tn: 1384889; precision of pattern: 1.0; tp, abs. recall of pattern: 17; pattern: _OTOKEN_reliable; pattern type: l0
len(selected_patterns):192; curr precision: 0.9795; curr recall: 0.1515; curr f1: 0.2625; curr tp: 18526; curr fp: 388; curr fn: 103721; curr tn: 1384889; precision of pattern: 1.0; tp, abs. recall of pattern: 17; pattern: _OTOKEN_overdone; pattern type: l0
len(selected_patterns):193; curr precision: 0.9795; curr recall: 0.1517; curr f1: 0.2627; curr tp: 18543; curr fp: 388; curr fn: 103704; curr tn: 1384889; precision of pattern: 1.0; tp, abs. recall of pattern: 17; pattern: _OTOKEN_stronger; pattern type: l0
len(selected_patterns):194; curr precision: 0.9794; curr recall: 0.1518; curr f1: 0.2629; curr tp: 18560; curr fp: 390; curr fn: 103687; curr tn: 1384887; precision of pattern: 1.0; tp, abs. recall of pattern: 17; pattern: _OTOKEN_airy; pattern type: l0
len(selected_patterns):195; curr precision: 0.979; curr recall: 0.152; curr f1: 0.2631; curr tp: 18577; curr fp: 399; curr fn: 103670; curr tn: 1384878; precision of pattern: 1.0; tp, abs. recall of pattern: 17; pattern: _OTOKEN_conveniently; pattern type: l0
len(selected_patterns):196; curr precision: 0.979; curr recall: 0.1521; curr f1: 0.2633; curr tp: 18594; curr fp: 399; curr fn: 103653; curr tn: 1384878; precision of pattern: 1.0; tp, abs. recall of pattern: 17; pattern: _OTOKEN_fresher; pattern type: l0
len(selected_patterns):197; curr precision: 0.9788; curr recall: 0.1522; curr f1: 0.2635; curr tp: 18611; curr fp: 404; curr fn: 103636; curr tn: 1384873; precision of pattern: 1.0; tp, abs. recall of pattern: 17; pattern: _OTOKEN_rustic; pattern type: l0
len(selected_patterns):198; curr precision: 0.9787; curr recall: 0.1524; curr f1: 0.2637; curr tp: 18628; curr fp: 405; curr fn: 103619; curr tn: 1384872; precision of pattern: 1.0; tp, abs. recall of pattern: 17; pattern: _OTOKEN_shitty; pattern type: l0
len(selected_patterns):199; curr precision: 0.9787; curr recall: 0.1525; curr f1: 0.2639; curr tp: 18644; curr fp: 405; curr fn: 103603; curr tn: 1384872; precision of pattern: 1.0; tp, abs. recall of pattern: 16; pattern: _OTOKEN_substantial; pattern type: l0
len(selected_patterns):200; curr precision: 0.9787; curr recall: 0.1526; curr f1: 0.2641; curr tp: 18660; curr fp: 406; curr fn: 103587; curr tn: 1384871; precision of pattern: 1.0; tp, abs. recall of pattern: 16; pattern: _OTOKEN_downright; pattern type: l0
len(selected_patterns):201; curr precision: 0.9787; curr recall: 0.1528; curr f1: 0.2643; curr tp: 18676; curr fp: 406; curr fn: 103571; curr tn: 1384871; precision of pattern: 1.0; tp, abs. recall of pattern: 16; pattern: _OTOKEN_skimpy; pattern type: l0
len(selected_patterns):202; curr precision: 0.9787; curr recall: 0.1529; curr f1: 0.2645; curr tp: 18692; curr fp: 406; curr fn: 103555; curr tn: 1384871; precision of pattern: 1.0; tp, abs. recall of pattern: 16; pattern: _OTOKEN_quirky; pattern type: l0
len(selected_patterns):203; curr precision: 0.9784; curr recall: 0.153; curr f1: 0.2647; curr tp: 18708; curr fp: 413; curr fn: 103539; curr tn: 1384864; precision of pattern: 1.0; tp, abs. recall of pattern: 16; pattern: _OTOKEN_entertaining; pattern type: l0
len(selected_patterns):204; curr precision: 0.9783; curr recall: 0.1532; curr f1: 0.2649; curr tp: 18724; curr fp: 416; curr fn: 103523; curr tn: 1384861; precision of pattern: 1.0; tp, abs. recall of pattern: 16; pattern: _OTOKEN_loyal; pattern type: l0
len(selected_patterns):205; curr precision: 0.9781; curr recall: 0.1533; curr f1: 0.2651; curr tp: 18740; curr fp: 419; curr fn: 103507; curr tn: 1384858; precision of pattern: 1.0; tp, abs. recall of pattern: 16; pattern: _OTOKEN_adore; pattern type: l0
len(selected_patterns):206; curr precision: 0.9781; curr recall: 0.1534; curr f1: 0.2652; curr tp: 18756; curr fp: 419; curr fn: 103491; curr tn: 1384858; precision of pattern: 1.0; tp, abs. recall of pattern: 16; pattern: _OTOKEN_overbearing; pattern type: l0
len(selected_patterns):207; curr precision: 0.978; curr recall: 0.1536; curr f1: 0.2654; curr tp: 18772; curr fp: 423; curr fn: 103475; curr tn: 1384854; precision of pattern: 1.0; tp, abs. recall of pattern: 16; pattern: _OTOKEN_epic; pattern type: l0
len(selected_patterns):208; curr precision: 0.978; curr recall: 0.1537; curr f1: 0.2656; curr tp: 18788; curr fp: 423; curr fn: 103459; curr tn: 1384854; precision of pattern: 1.0; tp, abs. recall of pattern: 16; pattern: _OTOKEN_uninspired; pattern type: l0
len(selected_patterns):209; curr precision: 0.9779; curr recall: 0.1538; curr f1: 0.2658; curr tp: 18804; curr fp: 425; curr fn: 103443; curr tn: 1384852; precision of pattern: 1.0; tp, abs. recall of pattern: 16; pattern: _OTOKEN_outrageous; pattern type: l0
len(selected_patterns):210; curr precision: 0.9779; curr recall: 0.154; curr f1: 0.266; curr tp: 18820; curr fp: 426; curr fn: 103427; curr tn: 1384851; precision of pattern: 1.0; tp, abs. recall of pattern: 16; pattern: _OTOKEN_drawback; pattern type: l0
len(selected_patterns):211; curr precision: 0.9778; curr recall: 0.1541; curr f1: 0.2662; curr tp: 18835; curr fp: 427; curr fn: 103412; curr tn: 1384850; precision of pattern: 1.0; tp, abs. recall of pattern: 15; pattern: _OTOKEN_gigantic; pattern type: l0
len(selected_patterns):212; curr precision: 0.9778; curr recall: 0.1542; curr f1: 0.2664; curr tp: 18850; curr fp: 428; curr fn: 103397; curr tn: 1384849; precision of pattern: 1.0; tp, abs. recall of pattern: 15; pattern: _OTOKEN_vast; pattern type: l0
len(selected_patterns):213; curr precision: 0.9777; curr recall: 0.1543; curr f1: 0.2666; curr tp: 18865; curr fp: 431; curr fn: 103382; curr tn: 1384846; precision of pattern: 1.0; tp, abs. recall of pattern: 15; pattern: _OTOKEN_obsessed; pattern type: l0
len(selected_patterns):214; curr precision: 0.9776; curr recall: 0.1544; curr f1: 0.2667; curr tp: 18880; curr fp: 433; curr fn: 103367; curr tn: 1384844; precision of pattern: 1.0; tp, abs. recall of pattern: 15; pattern: _OTOKEN_disaster; pattern type: l0
len(selected_patterns):215; curr precision: 0.9776; curr recall: 0.1546; curr f1: 0.2669; curr tp: 18895; curr fp: 433; curr fn: 103352; curr tn: 1384844; precision of pattern: 1.0; tp, abs. recall of pattern: 15; pattern: _OTOKEN_friendliest; pattern type: l0
len(selected_patterns):216; curr precision: 0.9776; curr recall: 0.1547; curr f1: 0.2671; curr tp: 18910; curr fp: 433; curr fn: 103337; curr tn: 1384844; precision of pattern: 1.0; tp, abs. recall of pattern: 15; pattern: _OTOKEN_hilarious; pattern type: l0
len(selected_patterns):217; curr precision: 0.9776; curr recall: 0.1548; curr f1: 0.2673; curr tp: 18925; curr fp: 434; curr fn: 103322; curr tn: 1384843; precision of pattern: 1.0; tp, abs. recall of pattern: 15; pattern: _OTOKEN_expertly; pattern type: l0
len(selected_patterns):218; curr precision: 0.9775; curr recall: 0.1549; curr f1: 0.2675; curr tp: 18940; curr fp: 435; curr fn: 103307; curr tn: 1384842; precision of pattern: 1.0; tp, abs. recall of pattern: 15; pattern: _OTOKEN_colorful; pattern type: l0
len(selected_patterns):219; curr precision: 0.9773; curr recall: 0.1551; curr f1: 0.2676; curr tp: 18955; curr fp: 441; curr fn: 103292; curr tn: 1384836; precision of pattern: 1.0; tp, abs. recall of pattern: 15; pattern: _OTOKEN_calm; pattern type: l0
len(selected_patterns):220; curr precision: 0.9772; curr recall: 0.1552; curr f1: 0.2678; curr tp: 18970; curr fp: 442; curr fn: 103277; curr tn: 1384835; precision of pattern: 1.0; tp, abs. recall of pattern: 15; pattern: _OTOKEN_understatement; pattern type: l0
len(selected_patterns):221; curr precision: 0.9772; curr recall: 0.1553; curr f1: 0.268; curr tp: 18985; curr fp: 442; curr fn: 103262; curr tn: 1384835; precision of pattern: 1.0; tp, abs. recall of pattern: 15; pattern: _OTOKEN_innovative; pattern type: l0
len(selected_patterns):222; curr precision: 0.9772; curr recall: 0.1554; curr f1: 0.2682; curr tp: 19000; curr fp: 443; curr fn: 103247; curr tn: 1384834; precision of pattern: 1.0; tp, abs. recall of pattern: 15; pattern: _OTOKEN_disappoints; pattern type: l0
len(selected_patterns):223; curr precision: 0.9772; curr recall: 0.1555; curr f1: 0.2684; curr tp: 19014; curr fp: 443; curr fn: 103233; curr tn: 1384834; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: _OTOKEN_overpowered; pattern type: l0
len(selected_patterns):224; curr precision: 0.9772; curr recall: 0.1557; curr f1: 0.2685; curr tp: 19028; curr fp: 443; curr fn: 103219; curr tn: 1384834; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: _OTOKEN_dated; pattern type: l0
len(selected_patterns):225; curr precision: 0.9769; curr recall: 0.1558; curr f1: 0.2687; curr tp: 19042; curr fp: 450; curr fn: 103205; curr tn: 1384827; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: _OTOKEN_slammed; pattern type: l0
len(selected_patterns):226; curr precision: 0.9769; curr recall: 0.1559; curr f1: 0.2689; curr tp: 19056; curr fp: 450; curr fn: 103191; curr tn: 1384827; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: _OTOKEN_addicting; pattern type: l0
len(selected_patterns):227; curr precision: 0.9769; curr recall: 0.156; curr f1: 0.269; curr tp: 19070; curr fp: 450; curr fn: 103177; curr tn: 1384827; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: _OTOKEN_upbeat; pattern type: l0
len(selected_patterns):228; curr precision: 0.9767; curr recall: 0.1561; curr f1: 0.2692; curr tp: 19084; curr fp: 456; curr fn: 103163; curr tn: 1384821; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: _OTOKEN_luke; pattern type: l0
len(selected_patterns):229; curr precision: 0.9767; curr recall: 0.1562; curr f1: 0.2694; curr tp: 19098; curr fp: 456; curr fn: 103149; curr tn: 1384821; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: _OTOKEN_brilliant; pattern type: l0
len(selected_patterns):230; curr precision: 0.9766; curr recall: 0.1563; curr f1: 0.2695; curr tp: 19112; curr fp: 457; curr fn: 103135; curr tn: 1384820; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: _OTOKEN_slower; pattern type: l0
len(selected_patterns):231; curr precision: 0.9763; curr recall: 0.1565; curr f1: 0.2697; curr tp: 19126; curr fp: 465; curr fn: 103121; curr tn: 1384812; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: _OTOKEN_touristy; pattern type: l0
len(selected_patterns):232; curr precision: 0.9763; curr recall: 0.1566; curr f1: 0.2699; curr tp: 19140; curr fp: 465; curr fn: 103107; curr tn: 1384812; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: _OTOKEN_good-; pattern type: l0
len(selected_patterns):233; curr precision: 0.9761; curr recall: 0.1567; curr f1: 0.27; curr tp: 19154; curr fp: 468; curr fn: 103093; curr tn: 1384809; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: _OTOKEN_engaging; pattern type: l0
len(selected_patterns):234; curr precision: 0.9761; curr recall: 0.1568; curr f1: 0.2702; curr tp: 19168; curr fp: 469; curr fn: 103079; curr tn: 1384808; precision of pattern: 1.0; tp, abs. recall of pattern: 14; pattern: _OTOKEN_thinly; pattern type: l0
len(selected_patterns):235; curr precision: 0.9759; curr recall: 0.1569; curr f1: 0.2703; curr tp: 19181; curr fp: 474; curr fn: 103066; curr tn: 1384803; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_rotating; pattern type: l0
len(selected_patterns):236; curr precision: 0.9759; curr recall: 0.157; curr f1: 0.2705; curr tp: 19194; curr fp: 474; curr fn: 103053; curr tn: 1384803; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_magnificent; pattern type: l0
len(selected_patterns):237; curr precision: 0.9754; curr recall: 0.1571; curr f1: 0.2706; curr tp: 19207; curr fp: 485; curr fn: 103040; curr tn: 1384792; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_eager; pattern type: l0
len(selected_patterns):238; curr precision: 0.9751; curr recall: 0.1572; curr f1: 0.2708; curr tp: 19220; curr fp: 491; curr fn: 103027; curr tn: 1384786; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_dislike; pattern type: l0
len(selected_patterns):239; curr precision: 0.9751; curr recall: 0.1573; curr f1: 0.2709; curr tp: 19233; curr fp: 491; curr fn: 103014; curr tn: 1384786; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_glorious; pattern type: l0
len(selected_patterns):240; curr precision: 0.9751; curr recall: 0.1574; curr f1: 0.2711; curr tp: 19246; curr fp: 491; curr fn: 103001; curr tn: 1384786; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_varies; pattern type: l0
len(selected_patterns):241; curr precision: 0.9751; curr recall: 0.1575; curr f1: 0.2713; curr tp: 19259; curr fp: 492; curr fn: 102988; curr tn: 1384785; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_spendy; pattern type: l0
len(selected_patterns):242; curr precision: 0.9751; curr recall: 0.1576; curr f1: 0.2714; curr tp: 19272; curr fp: 492; curr fn: 102975; curr tn: 1384785; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_remarkable; pattern type: l0
len(selected_patterns):243; curr precision: 0.9751; curr recall: 0.1578; curr f1: 0.2716; curr tp: 19285; curr fp: 492; curr fn: 102962; curr tn: 1384785; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_chaotic; pattern type: l0
len(selected_patterns):244; curr precision: 0.975; curr recall: 0.1579; curr f1: 0.2717; curr tp: 19298; curr fp: 494; curr fn: 102949; curr tn: 1384783; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_comforting; pattern type: l0
len(selected_patterns):245; curr precision: 0.975; curr recall: 0.158; curr f1: 0.2719; curr tp: 19311; curr fp: 496; curr fn: 102936; curr tn: 1384781; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_hefty; pattern type: l0
len(selected_patterns):246; curr precision: 0.975; curr recall: 0.1581; curr f1: 0.272; curr tp: 19324; curr fp: 496; curr fn: 102923; curr tn: 1384781; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_intrusive; pattern type: l0
len(selected_patterns):247; curr precision: 0.9749; curr recall: 0.1582; curr f1: 0.2722; curr tp: 19337; curr fp: 497; curr fn: 102910; curr tn: 1384780; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_vibrant; pattern type: l0
len(selected_patterns):248; curr precision: 0.9749; curr recall: 0.1583; curr f1: 0.2724; curr tp: 19350; curr fp: 498; curr fn: 102897; curr tn: 1384779; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_limp; pattern type: l0
len(selected_patterns):249; curr precision: 0.9749; curr recall: 0.1584; curr f1: 0.2725; curr tp: 19363; curr fp: 498; curr fn: 102884; curr tn: 1384779; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_dissapointed; pattern type: l0
len(selected_patterns):250; curr precision: 0.9748; curr recall: 0.1585; curr f1: 0.2727; curr tp: 19376; curr fp: 500; curr fn: 102871; curr tn: 1384777; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_bargain; pattern type: l0
len(selected_patterns):251; curr precision: 0.9748; curr recall: 0.1586; curr f1: 0.2728; curr tp: 19389; curr fp: 501; curr fn: 102858; curr tn: 1384776; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_stingy; pattern type: l0
len(selected_patterns):252; curr precision: 0.9748; curr recall: 0.1587; curr f1: 0.273; curr tp: 19402; curr fp: 501; curr fn: 102845; curr tn: 1384776; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_unsatisfied; pattern type: l0
len(selected_patterns):253; curr precision: 0.9748; curr recall: 0.1588; curr f1: 0.2731; curr tp: 19415; curr fp: 501; curr fn: 102832; curr tn: 1384776; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_exquisite; pattern type: l0
len(selected_patterns):254; curr precision: 0.9749; curr recall: 0.1589; curr f1: 0.2733; curr tp: 19428; curr fp: 501; curr fn: 102819; curr tn: 1384776; precision of pattern: 1.0; tp, abs. recall of pattern: 13; pattern: _OTOKEN_unremarkable; pattern type: l0
len(selected_patterns):255; curr precision: 0.9748; curr recall: 0.159; curr f1: 0.2734; curr tp: 19440; curr fp: 503; curr fn: 102807; curr tn: 1384774; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_gracious; pattern type: l0
len(selected_patterns):256; curr precision: 0.9746; curr recall: 0.1591; curr f1: 0.2736; curr tp: 19452; curr fp: 507; curr fn: 102795; curr tn: 1384770; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_narrow; pattern type: l0
len(selected_patterns):257; curr precision: 0.9742; curr recall: 0.1592; curr f1: 0.2737; curr tp: 19464; curr fp: 515; curr fn: 102783; curr tn: 1384762; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_updated; pattern type: l0
len(selected_patterns):258; curr precision: 0.9742; curr recall: 0.1593; curr f1: 0.2739; curr tp: 19476; curr fp: 515; curr fn: 102771; curr tn: 1384762; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_tremendous; pattern type: l0
len(selected_patterns):259; curr precision: 0.9742; curr recall: 0.1594; curr f1: 0.274; curr tp: 19488; curr fp: 517; curr fn: 102759; curr tn: 1384760; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_speedy; pattern type: l0
len(selected_patterns):260; curr precision: 0.974; curr recall: 0.1595; curr f1: 0.2741; curr tp: 19500; curr fp: 520; curr fn: 102747; curr tn: 1384757; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_quicker; pattern type: l0
len(selected_patterns):261; curr precision: 0.9738; curr recall: 0.1596; curr f1: 0.2743; curr tp: 19512; curr fp: 525; curr fn: 102735; curr tn: 1384752; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_highlights; pattern type: l0
len(selected_patterns):262; curr precision: 0.9738; curr recall: 0.1597; curr f1: 0.2744; curr tp: 19524; curr fp: 526; curr fn: 102723; curr tn: 1384751; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_sparse; pattern type: l0
len(selected_patterns):263; curr precision: 0.9738; curr recall: 0.1598; curr f1: 0.2746; curr tp: 19536; curr fp: 526; curr fn: 102711; curr tn: 1384751; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_pathetic; pattern type: l0
len(selected_patterns):264; curr precision: 0.9738; curr recall: 0.1599; curr f1: 0.2747; curr tp: 19548; curr fp: 526; curr fn: 102699; curr tn: 1384751; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_unreal; pattern type: l0
len(selected_patterns):265; curr precision: 0.9736; curr recall: 0.16; curr f1: 0.2748; curr tp: 19560; curr fp: 530; curr fn: 102687; curr tn: 1384747; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_finest; pattern type: l0
len(selected_patterns):266; curr precision: 0.9736; curr recall: 0.1601; curr f1: 0.275; curr tp: 19572; curr fp: 530; curr fn: 102675; curr tn: 1384747; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_excessive; pattern type: l0
len(selected_patterns):267; curr precision: 0.9737; curr recall: 0.1602; curr f1: 0.2751; curr tp: 19584; curr fp: 530; curr fn: 102663; curr tn: 1384747; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_questionable; pattern type: l0
len(selected_patterns):268; curr precision: 0.9737; curr recall: 0.1603; curr f1: 0.2753; curr tp: 19596; curr fp: 530; curr fn: 102651; curr tn: 1384747; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_unpretentious; pattern type: l0
len(selected_patterns):269; curr precision: 0.9736; curr recall: 0.1604; curr f1: 0.2754; curr tp: 19608; curr fp: 531; curr fn: 102639; curr tn: 1384746; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_smallest; pattern type: l0
len(selected_patterns):270; curr precision: 0.9736; curr recall: 0.1605; curr f1: 0.2756; curr tp: 19620; curr fp: 531; curr fn: 102627; curr tn: 1384746; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_sleek; pattern type: l0
len(selected_patterns):271; curr precision: 0.9737; curr recall: 0.1606; curr f1: 0.2757; curr tp: 19632; curr fp: 531; curr fn: 102615; curr tn: 1384746; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_marginal; pattern type: l0
len(selected_patterns):272; curr precision: 0.9737; curr recall: 0.1607; curr f1: 0.2759; curr tp: 19644; curr fp: 531; curr fn: 102603; curr tn: 1384746; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_misleading; pattern type: l0
len(selected_patterns):273; curr precision: 0.9736; curr recall: 0.1608; curr f1: 0.276; curr tp: 19656; curr fp: 533; curr fn: 102591; curr tn: 1384744; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_tempting; pattern type: l0
len(selected_patterns):274; curr precision: 0.9736; curr recall: 0.1609; curr f1: 0.2761; curr tp: 19668; curr fp: 533; curr fn: 102579; curr tn: 1384744; precision of pattern: 1.0; tp, abs. recall of pattern: 12; pattern: _OTOKEN_forgettable; pattern type: l0
len(selected_patterns):275; curr precision: 0.9735; curr recall: 0.161; curr f1: 0.2763; curr tp: 19679; curr fp: 536; curr fn: 102568; curr tn: 1384741; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_complemented; pattern type: l0
len(selected_patterns):276; curr precision: 0.9735; curr recall: 0.1611; curr f1: 0.2764; curr tp: 19690; curr fp: 536; curr fn: 102557; curr tn: 1384741; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_well-done; pattern type: l0
len(selected_patterns):277; curr precision: 0.9735; curr recall: 0.1612; curr f1: 0.2765; curr tp: 19701; curr fp: 537; curr fn: 102546; curr tn: 1384740; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_tricky; pattern type: l0
len(selected_patterns):278; curr precision: 0.9735; curr recall: 0.1612; curr f1: 0.2767; curr tp: 19712; curr fp: 537; curr fn: 102535; curr tn: 1384740; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_favourites; pattern type: l0
len(selected_patterns):279; curr precision: 0.9734; curr recall: 0.1613; curr f1: 0.2768; curr tp: 19723; curr fp: 539; curr fn: 102524; curr tn: 1384738; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_passionate; pattern type: l0
len(selected_patterns):280; curr precision: 0.9734; curr recall: 0.1614; curr f1: 0.2769; curr tp: 19734; curr fp: 539; curr fn: 102513; curr tn: 1384738; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_unappetizing; pattern type: l0
len(selected_patterns):281; curr precision: 0.9734; curr recall: 0.1615; curr f1: 0.2771; curr tp: 19745; curr fp: 539; curr fn: 102502; curr tn: 1384738; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_unhealthy; pattern type: l0
len(selected_patterns):282; curr precision: 0.9734; curr recall: 0.1616; curr f1: 0.2772; curr tp: 19756; curr fp: 539; curr fn: 102491; curr tn: 1384738; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_pleasing; pattern type: l0
len(selected_patterns):283; curr precision: 0.9732; curr recall: 0.1617; curr f1: 0.2773; curr tp: 19767; curr fp: 545; curr fn: 102480; curr tn: 1384732; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_nervous; pattern type: l0
len(selected_patterns):284; curr precision: 0.9731; curr recall: 0.1618; curr f1: 0.2774; curr tp: 19778; curr fp: 547; curr fn: 102469; curr tn: 1384730; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_distracting; pattern type: l0
len(selected_patterns):285; curr precision: 0.9731; curr recall: 0.1619; curr f1: 0.2776; curr tp: 19789; curr fp: 547; curr fn: 102458; curr tn: 1384730; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_absurd; pattern type: l0
len(selected_patterns):286; curr precision: 0.9731; curr recall: 0.162; curr f1: 0.2777; curr tp: 19800; curr fp: 547; curr fn: 102447; curr tn: 1384730; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_moderate; pattern type: l0
len(selected_patterns):287; curr precision: 0.973; curr recall: 0.1621; curr f1: 0.2778; curr tp: 19811; curr fp: 550; curr fn: 102436; curr tn: 1384727; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_sexy; pattern type: l0
len(selected_patterns):288; curr precision: 0.9728; curr recall: 0.1621; curr f1: 0.278; curr tp: 19822; curr fp: 555; curr fn: 102425; curr tn: 1384722; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_homey; pattern type: l0
len(selected_patterns):289; curr precision: 0.9726; curr recall: 0.1622; curr f1: 0.2781; curr tp: 19833; curr fp: 558; curr fn: 102414; curr tn: 1384719; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_rudely; pattern type: l0
len(selected_patterns):290; curr precision: 0.9726; curr recall: 0.1623; curr f1: 0.2782; curr tp: 19844; curr fp: 558; curr fn: 102403; curr tn: 1384719; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_over-priced; pattern type: l0
len(selected_patterns):291; curr precision: 0.9726; curr recall: 0.1624; curr f1: 0.2784; curr tp: 19855; curr fp: 560; curr fn: 102392; curr tn: 1384717; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_horrendous; pattern type: l0
len(selected_patterns):292; curr precision: 0.9715; curr recall: 0.1625; curr f1: 0.2784; curr tp: 19866; curr fp: 582; curr fn: 102381; curr tn: 1384695; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_chew; pattern type: l0
len(selected_patterns):293; curr precision: 0.9716; curr recall: 0.1626; curr f1: 0.2786; curr tp: 19877; curr fp: 582; curr fn: 102370; curr tn: 1384695; precision of pattern: 1.0; tp, abs. recall of pattern: 11; pattern: _OTOKEN_flawless; pattern type: l0
