len(selected_patterns):1; curr precision: 0.9945; curr recall: 0.014; curr f1: 0.0276; curr tp: 2157; curr fp: 12; curr fn: 152008; curr tn: 1353347; precision of pattern: 0.9959; tp, abs. recall of pattern: 2157; pattern: ('DEP_nsubj', 'WORD', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):773; curr precision: 0.9464; curr recall: 0.2592; curr f1: 0.4069; curr tp: 39952; curr fp: 2264; curr fn: 114213; curr tn: 1351095; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('PROX_near1', '_ATOKEN_soup', 'TOKEN_is'); pattern type: l1
len(selected_patterns):774; curr precision: 0.9464; curr recall: 0.2592; curr f1: 0.407; curr tp: 39966; curr fp: 2265; curr fn: 114199; curr tn: 1351094; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('DEP_obj', 'WORD', '_ATOKEN_lobster'); pattern type: l1
len(selected_patterns):775; curr precision: 0.9463; curr recall: 0.2594; curr f1: 0.4072; curr tp: 39997; curr fp: 2269; curr fn: 114168; curr tn: 1351090; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('COREF_coref', '_ATOKEN_fish', 'TOKEN_it'); pattern type: l1
len(selected_patterns):776; curr precision: 0.9462; curr recall: 0.2597; curr f1: 0.4075; curr tp: 40037; curr fp: 2276; curr fn: 114128; curr tn: 1351083; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('DEP_amod', '_ATOKEN_bbq', 'WORD'); pattern type: l1
len(selected_patterns):777; curr precision: 0.9462; curr recall: 0.2599; curr f1: 0.4077; curr tp: 40062; curr fp: 2279; curr fn: 114103; curr tn: 1351080; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('PROX_near1', 'TOKEN_ahi', '_AWORD'); pattern type: l1
len(selected_patterns):778; curr precision: 0.9462; curr recall: 0.26; curr f1: 0.4079; curr tp: 40083; curr fp: 2279; curr fn: 114082; curr tn: 1351080; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('DEP_amod', '_ATOKEN_tuna', 'WORD'); pattern type: l1
len(selected_patterns):779; curr precision: 0.9462; curr recall: 0.2601; curr f1: 0.408; curr tp: 40095; curr fp: 2279; curr fn: 114070; curr tn: 1351080; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('DEP_conj', 'WORD', '_ATOKEN_greens'); pattern type: l1
len(selected_patterns):780; curr precision: 0.9462; curr recall: 0.2602; curr f1: 0.4082; curr tp: 40115; curr fp: 2279; curr fn: 114050; curr tn: 1351080; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('PROX_near1', 'TOKEN_their', '_ATOKEN_chicken'); pattern type: l1
len(selected_patterns):781; curr precision: 0.9458; curr recall: 0.2604; curr f1: 0.4084; curr tp: 40143; curr fp: 2301; curr fn: 114022; curr tn: 1351058; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('DEP_compound', '_AWORD', 'TOKEN_size'); pattern type: l1
len(selected_patterns):782; curr precision: 0.9454; curr recall: 0.2606; curr f1: 0.4086; curr tp: 40183; curr fp: 2322; curr fn: 113982; curr tn: 1351037; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('DEP_det', '_ATOKEN_cook', 'WORD'); pattern type: l1
len(selected_patterns):783; curr precision: 0.9453; curr recall: 0.2608; curr f1: 0.4088; curr tp: 40199; curr fp: 2328; curr fn: 113966; curr tn: 1351031; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('DEP_obj', 'WORD', '_ATOKEN_broth'); pattern type: l1
len(selected_patterns):784; curr precision: 0.9453; curr recall: 0.2609; curr f1: 0.4089; curr tp: 40223; curr fp: 2329; curr fn: 113942; curr tn: 1351030; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('COREF_coref', '_ATOKEN_crab', 'WORD'); pattern type: l1
len(selected_patterns):785; curr precision: 0.9452; curr recall: 0.2611; curr f1: 0.4092; curr tp: 40250; curr fp: 2334; curr fn: 113915; curr tn: 1351025; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('SRL_arg1', 'TOKEN_is', '_ATOKEN_thai'); pattern type: l1
len(selected_patterns):786; curr precision: 0.9451; curr recall: 0.2612; curr f1: 0.4093; curr tp: 40264; curr fp: 2338; curr fn: 113901; curr tn: 1351021; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('SRL_arg1', 'TOKEN_was', '_ATOKEN_selection'); pattern type: l1
len(selected_patterns):787; curr precision: 0.945; curr recall: 0.2614; curr f1: 0.4095; curr tp: 40299; curr fp: 2344; curr fn: 113866; curr tn: 1351015; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('COREF_coref', '_ATOKEN_waitress', 'TOKEN_her'); pattern type: l1
len(selected_patterns):788; curr precision: 0.945; curr recall: 0.2616; curr f1: 0.4098; curr tp: 40336; curr fp: 2346; curr fn: 113829; curr tn: 1351013; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('DEP_obj', 'WORD', '_ATOKEN_patio'); pattern type: l1
len(selected_patterns):789; curr precision: 0.945; curr recall: 0.2617; curr f1: 0.4099; curr tp: 40345; curr fp: 2347; curr fn: 113820; curr tn: 1351012; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('PROX_near2', 'TOKEN_the', '_ATOKEN_appetizer'); pattern type: l1
len(selected_patterns):790; curr precision: 0.945; curr recall: 0.2619; curr f1: 0.4102; curr tp: 40379; curr fp: 2349; curr fn: 113786; curr tn: 1351010; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: ('PROX_near2', 'TOKEN_,', '_ATOKEN_menu'); pattern type: l1
len(selected_patterns):791; curr precision: 0.9451; curr recall: 0.2622; curr f1: 0.4105; curr tp: 40418; curr fp: 2349; curr fn: 113747; curr tn: 1351010; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: _ATOKEN_mignon; pattern type: l0
len(selected_patterns):792; curr precision: 0.9451; curr recall: 0.2624; curr f1: 0.4108; curr tp: 40457; curr fp: 2351; curr fn: 113708; curr tn: 1351008; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: _ATOKEN_wonton; pattern type: l0
len(selected_patterns):793; curr precision: 0.945; curr recall: 0.2627; curr f1: 0.4111; curr tp: 40494; curr fp: 2357; curr fn: 113671; curr tn: 1351002; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: _ATOKEN_chop; pattern type: l0
len(selected_patterns):794; curr precision: 0.9449; curr recall: 0.2629; curr f1: 0.4114; curr tp: 40533; curr fp: 2363; curr fn: 113632; curr tn: 1350996; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: _ATOKEN_shakes; pattern type: l0
len(selected_patterns):795; curr precision: 0.9449; curr recall: 0.2632; curr f1: 0.4117; curr tp: 40572; curr fp: 2367; curr fn: 113593; curr tn: 1350992; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('SRL_arg1', 'TOKEN_was', '_ATOKEN_egg'); pattern type: l1
len(selected_patterns):796; curr precision: 0.9449; curr recall: 0.2632; curr f1: 0.4118; curr tp: 40582; curr fp: 2367; curr fn: 113583; curr tn: 1350992; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('DEP_conj', '_ATOKEN_portions', 'WORD'); pattern type: l1
len(selected_patterns):797; curr precision: 0.9448; curr recall: 0.2634; curr f1: 0.412; curr tp: 40612; curr fp: 2371; curr fn: 113553; curr tn: 1350988; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near2', 'TOKEN_,', '_ATOKEN_rice'); pattern type: l1
len(selected_patterns):798; curr precision: 0.9449; curr recall: 0.2635; curr f1: 0.4121; curr tp: 40624; curr fp: 2371; curr fn: 113541; curr tn: 1350988; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('DEP_amod', '_AWORD', 'TOKEN_seared'); pattern type: l1
len(selected_patterns):799; curr precision: 0.9448; curr recall: 0.2637; curr f1: 0.4123; curr tp: 40657; curr fp: 2376; curr fn: 113508; curr tn: 1350983; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('SRL_arg1', 'TOKEN_had', '_ATOKEN_beer'); pattern type: l1
len(selected_patterns):800; curr precision: 0.9448; curr recall: 0.2638; curr f1: 0.4125; curr tp: 40672; curr fp: 2376; curr fn: 113493; curr tn: 1350983; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near2', '_ATOKEN_lobster', 'TOKEN_,'); pattern type: l1
len(selected_patterns):801; curr precision: 0.9446; curr recall: 0.2641; curr f1: 0.4128; curr tp: 40710; curr fp: 2387; curr fn: 113455; curr tn: 1350972; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near1', '_ATOKEN_bar', 'TOKEN_with'); pattern type: l1
len(selected_patterns):802; curr precision: 0.9446; curr recall: 0.2642; curr f1: 0.4129; curr tp: 40728; curr fp: 2388; curr fn: 113437; curr tn: 1350971; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('SRL_arg1', 'TOKEN_ordered', '_ATOKEN_roll'); pattern type: l1
len(selected_patterns):803; curr precision: 0.9446; curr recall: 0.2644; curr f1: 0.4131; curr tp: 40755; curr fp: 2392; curr fn: 113410; curr tn: 1350967; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('DEP_nmod', 'WORD', '_ATOKEN_beans'); pattern type: l1
len(selected_patterns):804; curr precision: 0.9446; curr recall: 0.2644; curr f1: 0.4131; curr tp: 40756; curr fp: 2392; curr fn: 113409; curr tn: 1350967; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near2', 'TOKEN_,', '_ATOKEN_fries'); pattern type: l1
len(selected_patterns):805; curr precision: 0.9446; curr recall: 0.2645; curr f1: 0.4133; curr tp: 40782; curr fp: 2393; curr fn: 113383; curr tn: 1350966; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('DEP_compound', '_ATOKEN_pepper', 'WORD'); pattern type: l1
len(selected_patterns):806; curr precision: 0.9446; curr recall: 0.2646; curr f1: 0.4134; curr tp: 40790; curr fp: 2393; curr fn: 113375; curr tn: 1350966; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('DEP_det', '_ATOKEN_dip', 'TOKEN_the'); pattern type: l1
len(selected_patterns):807; curr precision: 0.9446; curr recall: 0.2648; curr f1: 0.4136; curr tp: 40821; curr fp: 2395; curr fn: 113344; curr tn: 1350964; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near2', '_ATOKEN_grilled', 'TOKEN_,'); pattern type: l1
len(selected_patterns):808; curr precision: 0.9446; curr recall: 0.265; curr f1: 0.4139; curr tp: 40860; curr fp: 2398; curr fn: 113305; curr tn: 1350961; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('DEP_nsubj', 'TOKEN_small', '_ATOKEN_place'); pattern type: l1
len(selected_patterns):809; curr precision: 0.9446; curr recall: 0.2651; curr f1: 0.414; curr tp: 40869; curr fp: 2398; curr fn: 113296; curr tn: 1350961; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near1', 'TOKEN_their', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):810; curr precision: 0.9445; curr recall: 0.2652; curr f1: 0.4141; curr tp: 40878; curr fp: 2400; curr fn: 113287; curr tn: 1350959; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_waiters'); pattern type: l1
len(selected_patterns):811; curr precision: 0.9445; curr recall: 0.2654; curr f1: 0.4144; curr tp: 40917; curr fp: 2404; curr fn: 113248; curr tn: 1350955; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near1', '_ATOKEN_black', 'TOKEN_beans'); pattern type: l1
len(selected_patterns):812; curr precision: 0.9445; curr recall: 0.2655; curr f1: 0.4145; curr tp: 40935; curr fp: 2406; curr fn: 113230; curr tn: 1350953; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_cream'); pattern type: l1
len(selected_patterns):813; curr precision: 0.9445; curr recall: 0.2656; curr f1: 0.4147; curr tp: 40952; curr fp: 2406; curr fn: 113213; curr tn: 1350953; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('SRL_arg1', 'TOKEN_is', '_ATOKEN_pork'); pattern type: l1
len(selected_patterns):814; curr precision: 0.9444; curr recall: 0.2657; curr f1: 0.4147; curr tp: 40962; curr fp: 2413; curr fn: 113203; curr tn: 1350946; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near1', '_AWORD', 'TOKEN_chops'); pattern type: l1
len(selected_patterns):815; curr precision: 0.9443; curr recall: 0.266; curr f1: 0.415; curr tp: 41001; curr fp: 2418; curr fn: 113164; curr tn: 1350941; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('DEP_obj', 'WORD', '_ATOKEN_sauces'); pattern type: l1
len(selected_patterns):816; curr precision: 0.9443; curr recall: 0.266; curr f1: 0.4151; curr tp: 41014; curr fp: 2418; curr fn: 113151; curr tn: 1350941; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('SRL_arg1', 'TOKEN_been', '_ATOKEN_food'); pattern type: l1
len(selected_patterns):817; curr precision: 0.9443; curr recall: 0.2661; curr f1: 0.4152; curr tp: 41029; curr fp: 2418; curr fn: 113136; curr tn: 1350941; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_sausage'); pattern type: l1
len(selected_patterns):818; curr precision: 0.9444; curr recall: 0.2662; curr f1: 0.4154; curr tp: 41043; curr fp: 2418; curr fn: 113122; curr tn: 1350941; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_truffle'); pattern type: l1
len(selected_patterns):819; curr precision: 0.9444; curr recall: 0.2665; curr f1: 0.4157; curr tp: 41082; curr fp: 2418; curr fn: 113083; curr tn: 1350941; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('DEP_compound', 'WORD', '_ATOKEN_filet'); pattern type: l1
len(selected_patterns):820; curr precision: 0.9444; curr recall: 0.2666; curr f1: 0.4158; curr tp: 41094; curr fp: 2419; curr fn: 113071; curr tn: 1350940; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_waffle'); pattern type: l1
len(selected_patterns):821; curr precision: 0.9443; curr recall: 0.2667; curr f1: 0.4159; curr tp: 41117; curr fp: 2427; curr fn: 113048; curr tn: 1350932; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('DEP_conj', '_AWORD', 'TOKEN_salmon'); pattern type: l1
len(selected_patterns):822; curr precision: 0.9443; curr recall: 0.2667; curr f1: 0.416; curr tp: 41122; curr fp: 2427; curr fn: 113043; curr tn: 1350932; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('SRL_none', 'WORD', '_ATOKEN_burgers'); pattern type: l1
len(selected_patterns):823; curr precision: 0.9443; curr recall: 0.2668; curr f1: 0.416; curr tp: 41124; curr fp: 2427; curr fn: 113041; curr tn: 1350932; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near2', '_ATOKEN_chicken', 'TOKEN_is'); pattern type: l1
len(selected_patterns):824; curr precision: 0.9443; curr recall: 0.2668; curr f1: 0.416; curr tp: 41129; curr fp: 2427; curr fn: 113036; curr tn: 1350932; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near1', '_AWORD', 'TOKEN_mignon'); pattern type: l1
len(selected_patterns):825; curr precision: 0.944; curr recall: 0.267; curr f1: 0.4163; curr tp: 41166; curr fp: 2440; curr fn: 112999; curr tn: 1350919; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('SRL_arg1', 'WORD', '_ATOKEN_oyster'); pattern type: l1
len(selected_patterns):826; curr precision: 0.944; curr recall: 0.2671; curr f1: 0.4164; curr tp: 41176; curr fp: 2444; curr fn: 112989; curr tn: 1350915; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('DEP_punct', '_ATOKEN_wine', 'WORD'); pattern type: l1
len(selected_patterns):827; curr precision: 0.944; curr recall: 0.2673; curr f1: 0.4167; curr tp: 41215; curr fp: 2445; curr fn: 112950; curr tn: 1350914; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('PROX_near1', '_ATOKEN_egg', 'TOKEN_rolls'); pattern type: l1
len(selected_patterns):828; curr precision: 0.944; curr recall: 0.2674; curr f1: 0.4167; curr tp: 41217; curr fp: 2445; curr fn: 112948; curr tn: 1350914; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: ('SRL_arg1', 'WORD', '_ATOKEN_sesame'); pattern type: l1
len(selected_patterns):829; curr precision: 0.944; curr recall: 0.2676; curr f1: 0.417; curr tp: 41251; curr fp: 2448; curr fn: 112914; curr tn: 1350911; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_tibs; pattern type: l0
len(selected_patterns):830; curr precision: 0.944; curr recall: 0.2678; curr f1: 0.4173; curr tp: 41288; curr fp: 2448; curr fn: 112877; curr tn: 1350911; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_cauliflower; pattern type: l0
len(selected_patterns):831; curr precision: 0.944; curr recall: 0.268; curr f1: 0.4175; curr tp: 41322; curr fp: 2449; curr fn: 112843; curr tn: 1350910; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_catfish; pattern type: l0
len(selected_patterns):832; curr precision: 0.9439; curr recall: 0.2683; curr f1: 0.4178; curr tp: 41359; curr fp: 2459; curr fn: 112806; curr tn: 1350900; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _ATOKEN_carrot; pattern type: l0
len(selected_patterns):833; curr precision: 0.9439; curr recall: 0.2684; curr f1: 0.418; curr tp: 41378; curr fp: 2459; curr fn: 112787; curr tn: 1350900; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('SRL_arg1', 'TOKEN_ordered', '_ATOKEN_shrimp'); pattern type: l1
len(selected_patterns):834; curr precision: 0.9439; curr recall: 0.2684; curr f1: 0.418; curr tp: 41383; curr fp: 2460; curr fn: 112782; curr tn: 1350899; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near2', 'TOKEN_the', '_ATOKEN_toast'); pattern type: l1
len(selected_patterns):835; curr precision: 0.9439; curr recall: 0.2686; curr f1: 0.4182; curr tp: 41412; curr fp: 2461; curr fn: 112753; curr tn: 1350898; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_compound', 'TOKEN_parm', '_AWORD'); pattern type: l1
len(selected_patterns):836; curr precision: 0.9439; curr recall: 0.2687; curr f1: 0.4183; curr tp: 41417; curr fp: 2461; curr fn: 112748; curr tn: 1350898; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_punct', '_ATOKEN_ambiance', 'TOKEN_.'); pattern type: l1
len(selected_patterns):837; curr precision: 0.9438; curr recall: 0.2688; curr f1: 0.4184; curr tp: 41436; curr fp: 2466; curr fn: 112729; curr tn: 1350893; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('SRL_arg0', 'WORD', '_ATOKEN_beer'); pattern type: l1
len(selected_patterns):838; curr precision: 0.9437; curr recall: 0.269; curr f1: 0.4187; curr tp: 41470; curr fp: 2472; curr fn: 112695; curr tn: 1350887; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_advmod', '_ATOKEN_burger', 'WORD'); pattern type: l1
len(selected_patterns):839; curr precision: 0.9436; curr recall: 0.2692; curr f1: 0.4189; curr tp: 41497; curr fp: 2478; curr fn: 112668; curr tn: 1350881; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_obj', 'WORD', '_ATOKEN_margarita'); pattern type: l1
len(selected_patterns):840; curr precision: 0.9437; curr recall: 0.2692; curr f1: 0.4189; curr tp: 41504; curr fp: 2478; curr fn: 112661; curr tn: 1350881; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_conj', '_ATOKEN_food', 'TOKEN_staff'); pattern type: l1
len(selected_patterns):841; curr precision: 0.9436; curr recall: 0.2693; curr f1: 0.419; curr tp: 41510; curr fp: 2479; curr fn: 112655; curr tn: 1350880; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_compound', '_AWORD', 'TOKEN_chile'); pattern type: l1
len(selected_patterns):842; curr precision: 0.9436; curr recall: 0.2693; curr f1: 0.419; curr tp: 41511; curr fp: 2479; curr fn: 112654; curr tn: 1350880; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near1', '_ATOKEN_dessert', 'TOKEN_was'); pattern type: l1
len(selected_patterns):843; curr precision: 0.9437; curr recall: 0.2694; curr f1: 0.4192; curr tp: 41538; curr fp: 2479; curr fn: 112627; curr tn: 1350880; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near2', '_ATOKEN_shrimp', 'TOKEN_,'); pattern type: l1
len(selected_patterns):844; curr precision: 0.9437; curr recall: 0.2695; curr f1: 0.4193; curr tp: 41554; curr fp: 2481; curr fn: 112611; curr tn: 1350878; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_punct', '_ATOKEN_salsa', 'WORD'); pattern type: l1
len(selected_patterns):845; curr precision: 0.9437; curr recall: 0.2698; curr f1: 0.4196; curr tp: 41591; curr fp: 2481; curr fn: 112574; curr tn: 1350878; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_appos', '_ATOKEN_waitress', 'WORD'); pattern type: l1
len(selected_patterns):846; curr precision: 0.9437; curr recall: 0.2698; curr f1: 0.4196; curr tp: 41593; curr fp: 2481; curr fn: 112572; curr tn: 1350878; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_compound', 'TOKEN_chops', '_AWORD'); pattern type: l1
len(selected_patterns):847; curr precision: 0.9437; curr recall: 0.2699; curr f1: 0.4198; curr tp: 41612; curr fp: 2481; curr fn: 112553; curr tn: 1350878; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_filet'); pattern type: l1
len(selected_patterns):848; curr precision: 0.9437; curr recall: 0.2701; curr f1: 0.42; curr tp: 41644; curr fp: 2483; curr fn: 112521; curr tn: 1350876; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_thai'); pattern type: l1
len(selected_patterns):849; curr precision: 0.9436; curr recall: 0.2703; curr f1: 0.4202; curr tp: 41674; curr fp: 2492; curr fn: 112491; curr tn: 1350867; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near1', 'TOKEN_carrot', '_AWORD'); pattern type: l1
len(selected_patterns):850; curr precision: 0.9436; curr recall: 0.2704; curr f1: 0.4204; curr tp: 41693; curr fp: 2492; curr fn: 112472; curr tn: 1350867; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near2', '_ATOKEN_fish', 'TOKEN_,'); pattern type: l1
len(selected_patterns):851; curr precision: 0.9435; curr recall: 0.2705; curr f1: 0.4205; curr tp: 41704; curr fp: 2499; curr fn: 112461; curr tn: 1350860; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near2', '_ATOKEN_food', 'TOKEN_be'); pattern type: l1
len(selected_patterns):852; curr precision: 0.9435; curr recall: 0.2705; curr f1: 0.4205; curr tp: 41708; curr fp: 2499; curr fn: 112457; curr tn: 1350860; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near1', '_ATOKEN_environment', 'TOKEN_.'); pattern type: l1
len(selected_patterns):853; curr precision: 0.9435; curr recall: 0.2706; curr f1: 0.4206; curr tp: 41715; curr fp: 2499; curr fn: 112450; curr tn: 1350860; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near1', '_ATOKEN_spinach', 'TOKEN_and'); pattern type: l1
len(selected_patterns):854; curr precision: 0.9435; curr recall: 0.2708; curr f1: 0.4209; curr tp: 41753; curr fp: 2500; curr fn: 112412; curr tn: 1350859; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_nsubj', 'WORD', '_ATOKEN_sauces'); pattern type: l1
len(selected_patterns):855; curr precision: 0.9435; curr recall: 0.2709; curr f1: 0.4209; curr tp: 41759; curr fp: 2501; curr fn: 112406; curr tn: 1350858; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_chefs'); pattern type: l1
len(selected_patterns):856; curr precision: 0.9435; curr recall: 0.2709; curr f1: 0.4209; curr tp: 41760; curr fp: 2502; curr fn: 112405; curr tn: 1350857; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_punct', '_ATOKEN_environment', 'WORD'); pattern type: l1
len(selected_patterns):857; curr precision: 0.9435; curr recall: 0.2709; curr f1: 0.4209; curr tp: 41762; curr fp: 2502; curr fn: 112403; curr tn: 1350857; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near1', 'TOKEN_best', '_ATOKEN_pizza'); pattern type: l1
len(selected_patterns):858; curr precision: 0.9435; curr recall: 0.2711; curr f1: 0.4212; curr tp: 41795; curr fp: 2503; curr fn: 112370; curr tn: 1350856; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_conj', '_ATOKEN_burger', 'TOKEN_fries'); pattern type: l1
len(selected_patterns):859; curr precision: 0.9435; curr recall: 0.2712; curr f1: 0.4213; curr tp: 41803; curr fp: 2503; curr fn: 112362; curr tn: 1350856; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('PROX_near2', '_ATOKEN_potato', 'TOKEN_,'); pattern type: l1
len(selected_patterns):860; curr precision: 0.9434; curr recall: 0.2714; curr f1: 0.4215; curr tp: 41839; curr fp: 2509; curr fn: 112326; curr tn: 1350850; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_det', '_ATOKEN_taco', 'TOKEN_a'); pattern type: l1
len(selected_patterns):861; curr precision: 0.9434; curr recall: 0.2716; curr f1: 0.4218; curr tp: 41875; curr fp: 2513; curr fn: 112290; curr tn: 1350846; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_compound', '_ATOKEN_peppers', 'WORD'); pattern type: l1
len(selected_patterns):862; curr precision: 0.9434; curr recall: 0.2719; curr f1: 0.4221; curr tp: 41912; curr fp: 2514; curr fn: 112253; curr tn: 1350845; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('SRL_arg1', 'WORD', '_ATOKEN_raspberry'); pattern type: l1
len(selected_patterns):863; curr precision: 0.9432; curr recall: 0.2721; curr f1: 0.4223; curr tp: 41945; curr fp: 2524; curr fn: 112220; curr tn: 1350835; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('SRL_arg0', 'WORD', '_ATOKEN_fried'); pattern type: l1
len(selected_patterns):864; curr precision: 0.9432; curr recall: 0.2723; curr f1: 0.4226; curr tp: 41983; curr fp: 2527; curr fn: 112182; curr tn: 1350832; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: ('DEP_compound', '_ATOKEN_martini', 'WORD'); pattern type: l1
