len(selected_patterns):1; curr precision: 0.9958; curr recall: 0.0108; curr f1: 0.0214; curr tp: 1178; curr fp: 5; curr fn: 107973; curr tn: 1563173; precision of pattern: 0.9963; tp, abs. recall of pattern: 1178; pattern: _OSYNSET('PERFECT.A.01'); pattern type: l0
len(selected_patterns):494; curr precision: 0.9411; curr recall: 0.1618; curr f1: 0.2762; curr tp: 17666; curr fp: 1105; curr fn: 91485; curr tn: 1562073; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('DEP_conj', 'POS_VBP', "_OSYNSET('HAPPY.A.01')"); pattern type: l1
len(selected_patterns):495; curr precision: 0.9411; curr recall: 0.1619; curr f1: 0.2763; curr tp: 17671; curr fp: 1105; curr fn: 91480; curr tn: 1562073; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('PROX_near1', "_OSYNSET('FAST.A.02')", "SYNSET('ELECTRONIC_EQUIPMENT.N.01')"); pattern type: l1
len(selected_patterns):496; curr precision: 0.9406; curr recall: 0.1621; curr f1: 0.2765; curr tp: 17689; curr fp: 1117; curr fn: 91462; curr tn: 1562061; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('PROX_near2', '_OPOS_J', "SYNSET('REWARD.N.04')"); pattern type: l1
len(selected_patterns):497; curr precision: 0.9406; curr recall: 0.1623; curr f1: 0.2768; curr tp: 17710; curr fp: 1118; curr fn: 91441; curr tn: 1562060; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('DEP_nsubj', '_OPOS_J', "SYNSET('LINUX.N.01')"); pattern type: l1
len(selected_patterns):498; curr precision: 0.9406; curr recall: 0.1623; curr f1: 0.2768; curr tp: 17712; curr fp: 1118; curr fn: 91439; curr tn: 1562060; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('DEP_parataxis', 'POS_JJ', "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):499; curr precision: 0.9406; curr recall: 0.1623; curr f1: 0.2768; curr tp: 17715; curr fp: 1118; curr fn: 91436; curr tn: 1562060; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('PROX_near2', 'POS_VBP', "_OSYNSET('FAST.A.02')"); pattern type: l1
len(selected_patterns):500; curr precision: 0.9406; curr recall: 0.1624; curr f1: 0.277; curr tp: 17724; curr fp: 1119; curr fn: 91427; curr tn: 1562059; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('DEP_csubj', '_OPOS_J', "SYNSET('CHANGE.V.01')"); pattern type: l1
len(selected_patterns):501; curr precision: 0.9406; curr recall: 0.1624; curr f1: 0.277; curr tp: 17727; curr fp: 1119; curr fn: 91424; curr tn: 1562059; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('SRL_c-arg1', 'WORD', "_OSYNSET('BETTER.A.02')"); pattern type: l1
len(selected_patterns):502; curr precision: 0.9405; curr recall: 0.1625; curr f1: 0.2771; curr tp: 17737; curr fp: 1122; curr fn: 91414; curr tn: 1562056; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('DEP_advmod', "_OSYNSET('LOVE.V.01')", "SYNSET('BESIDES.R.02')"); pattern type: l1
len(selected_patterns):503; curr precision: 0.9405; curr recall: 0.1626; curr f1: 0.2773; curr tp: 17748; curr fp: 1122; curr fn: 91403; curr tn: 1562056; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('SRL_argm-mnr', 'WORD', "_OSYNSET('REGRETFUL.A.01')"); pattern type: l1
len(selected_patterns):504; curr precision: 0.9405; curr recall: 0.1628; curr f1: 0.2776; curr tp: 17770; curr fp: 1125; curr fn: 91381; curr tn: 1562053; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('SRL_argm-tmp', "_OSYNSET('LOVE.V.01')", "SYNSET('THUS.R.02')"); pattern type: l1
len(selected_patterns):505; curr precision: 0.9404; curr recall: 0.1628; curr f1: 0.2776; curr tp: 17774; curr fp: 1126; curr fn: 91377; curr tn: 1562052; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('PROX_near2', 'POS_WDT', "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):506; curr precision: 0.9404; curr recall: 0.1629; curr f1: 0.2778; curr tp: 17785; curr fp: 1127; curr fn: 91366; curr tn: 1562051; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('DEP_root', 'POS_VB', '_OPOS_J'); pattern type: l1
len(selected_patterns):507; curr precision: 0.9403; curr recall: 0.1631; curr f1: 0.2779; curr tp: 17799; curr fp: 1130; curr fn: 91352; curr tn: 1562048; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('PROX_near1', "SYNSET('TYPIFY.V.02')", "_OSYNSET('SMALL.A.01')"); pattern type: l1
len(selected_patterns):508; curr precision: 0.9402; curr recall: 0.1632; curr f1: 0.2781; curr tp: 17815; curr fp: 1134; curr fn: 91336; curr tn: 1562044; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: ('DEP_ccomp', 'WORD', "_OSYNSET('HAPPY.A.01')"); pattern type: l1
len(selected_patterns):509; curr precision: 0.9399; curr recall: 0.1633; curr f1: 0.2783; curr tp: 17828; curr fp: 1139; curr fn: 91323; curr tn: 1562039; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('DEP_ccomp', "SYNSET('BELIEVE.V.01')", '_OPOS_J'); pattern type: l1
len(selected_patterns):510; curr precision: 0.9397; curr recall: 0.1634; curr f1: 0.2784; curr tp: 17833; curr fp: 1144; curr fn: 91318; curr tn: 1562034; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('PROX_near2', "_OSYNSET('GOOD.A.01')", 'POS_VBP'); pattern type: l1
len(selected_patterns):511; curr precision: 0.9397; curr recall: 0.1634; curr f1: 0.2784; curr tp: 17835; curr fp: 1144; curr fn: 91316; curr tn: 1562034; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('DEP_parataxis', 'POS_VB', "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):512; curr precision: 0.9396; curr recall: 0.1635; curr f1: 0.2786; curr tp: 17850; curr fp: 1147; curr fn: 91301; curr tn: 1562031; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('SRL_argm-dis', "_OSYNSET('LOVE.V.01')", 'POS_JJ'); pattern type: l1
len(selected_patterns):513; curr precision: 0.9396; curr recall: 0.1636; curr f1: 0.2786; curr tp: 17854; curr fp: 1147; curr fn: 91297; curr tn: 1562031; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('PROX_near2', "_OSYNSET('GOOD.A.03')", 'POS_VBG'); pattern type: l1
len(selected_patterns):514; curr precision: 0.9396; curr recall: 0.1636; curr f1: 0.2787; curr tp: 17855; curr fp: 1147; curr fn: 91296; curr tn: 1562031; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('SRL_argm-adv', 'WORD', "_OSYNSET('FINE.A.05')"); pattern type: l1
len(selected_patterns):515; curr precision: 0.9396; curr recall: 0.1637; curr f1: 0.2788; curr tp: 17867; curr fp: 1148; curr fn: 91284; curr tn: 1562030; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('DEP_conj', "SYNSET('LOVE.V.01')", "_OSYNSET('LOVE.V.01')"); pattern type: l1
len(selected_patterns):516; curr precision: 0.9396; curr recall: 0.1638; curr f1: 0.279; curr tp: 17881; curr fp: 1150; curr fn: 91270; curr tn: 1562028; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('DEP_advmod', "_OSYNSET('DIFFICULTY.N.02')", "SYNSET('NOT.R.01')"); pattern type: l1
len(selected_patterns):517; curr precision: 0.9387; curr recall: 0.1639; curr f1: 0.2791; curr tp: 17894; curr fp: 1168; curr fn: 91257; curr tn: 1562010; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('DEP_advcl', '_OPOS_J', "SYNSET('HAVE.V.01')"); pattern type: l1
len(selected_patterns):518; curr precision: 0.9387; curr recall: 0.164; curr f1: 0.2792; curr tp: 17897; curr fp: 1168; curr fn: 91254; curr tn: 1562010; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('DEP_ccomp', "_OSYNSET('LOVE.V.01')", 'POS_VB'); pattern type: l1
len(selected_patterns):519; curr precision: 0.9388; curr recall: 0.1642; curr f1: 0.2795; curr tp: 17918; curr fp: 1168; curr fn: 91233; curr tn: 1562010; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('PROX_near2', "SYNSET('EXPERIENCE.V.03')", "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):520; curr precision: 0.9388; curr recall: 0.1643; curr f1: 0.2796; curr tp: 17933; curr fp: 1170; curr fn: 91218; curr tn: 1562008; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('DEP_advcl', "_OSYNSET('HAPPY.A.01')", 'POS_VBD'); pattern type: l1
len(selected_patterns):521; curr precision: 0.9387; curr recall: 0.1644; curr f1: 0.2798; curr tp: 17944; curr fp: 1172; curr fn: 91207; curr tn: 1562006; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('DEP_nmod', "_OSYNSET('DIFFICULTY.N.02')", "SYNSET('PORTABLE_COMPUTER.N.01')"); pattern type: l1
len(selected_patterns):522; curr precision: 0.9384; curr recall: 0.1646; curr f1: 0.2801; curr tp: 17966; curr fp: 1179; curr fn: 91185; curr tn: 1561999; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('SRL_arg1', "SYNSET('INTERACT.V.01')", "_OSYNSET('LARGE.A.01')"); pattern type: l1
len(selected_patterns):523; curr precision: 0.9384; curr recall: 0.1647; curr f1: 0.2802; curr tp: 17976; curr fp: 1180; curr fn: 91175; curr tn: 1561998; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('PROX_near1', 'POS_VBG', "_OSYNSET('DIFFICULTY.N.02')"); pattern type: l1
len(selected_patterns):524; curr precision: 0.9379; curr recall: 0.1647; curr f1: 0.2802; curr tp: 17979; curr fp: 1191; curr fn: 91172; curr tn: 1561987; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: ('PROX_near2', "SYNSET('COMPONENT.N.03')", '_OPOS_J'); pattern type: l1
len(selected_patterns):525; curr precision: 0.9379; curr recall: 0.1647; curr f1: 0.2802; curr tp: 17980; curr fp: 1191; curr fn: 91171; curr tn: 1561987; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('PROX_near1', "_OSYNSET('FAST.A.02')", 'POS_RB'); pattern type: l1
len(selected_patterns):526; curr precision: 0.9378; curr recall: 0.1649; curr f1: 0.2805; curr tp: 17999; curr fp: 1194; curr fn: 91152; curr tn: 1561984; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('DEP_advmod', '_OPOS_J', 'POS_IN'); pattern type: l1
len(selected_patterns):527; curr precision: 0.9378; curr recall: 0.1651; curr f1: 0.2807; curr tp: 18016; curr fp: 1194; curr fn: 91135; curr tn: 1561984; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('PROX_near1', "_OSYNSET('GOOD.A.01')", "SYNSET('TEAM.N.01')"); pattern type: l1
len(selected_patterns):528; curr precision: 0.9378; curr recall: 0.1652; curr f1: 0.2809; curr tp: 18029; curr fp: 1196; curr fn: 91122; curr tn: 1561982; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('DEP_conj', "SYNSET('FINE.A.05')", '_OPOS_J'); pattern type: l1
len(selected_patterns):529; curr precision: 0.9378; curr recall: 0.1652; curr f1: 0.2809; curr tp: 18030; curr fp: 1196; curr fn: 91121; curr tn: 1561982; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('PROX_near2', 'POS_VBN', "_OSYNSET('GOOD.A.03')"); pattern type: l1
len(selected_patterns):530; curr precision: 0.9378; curr recall: 0.1652; curr f1: 0.2809; curr tp: 18032; curr fp: 1196; curr fn: 91119; curr tn: 1561982; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('PROX_near2', "_OSYNSET('FAST.A.02')", 'POS_NNP'); pattern type: l1
len(selected_patterns):531; curr precision: 0.9378; curr recall: 0.1652; curr f1: 0.2809; curr tp: 18034; curr fp: 1196; curr fn: 91117; curr tn: 1561982; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('PROX_near2', "_OSYNSET('FINE.A.05')", 'POS_IN'); pattern type: l1
len(selected_patterns):532; curr precision: 0.9378; curr recall: 0.1653; curr f1: 0.281; curr tp: 18039; curr fp: 1196; curr fn: 91112; curr tn: 1561982; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('PROX_near2', 'POS_DT', "_OSYNSET('REGRETFUL.A.01')"); pattern type: l1
len(selected_patterns):533; curr precision: 0.9378; curr recall: 0.1653; curr f1: 0.281; curr tp: 18040; curr fp: 1196; curr fn: 91111; curr tn: 1561982; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('PROX_near1', "_OSYNSET('GOOD.A.03')", 'POS_:'); pattern type: l1
len(selected_patterns):534; curr precision: 0.9378; curr recall: 0.1653; curr f1: 0.2811; curr tp: 18046; curr fp: 1196; curr fn: 91105; curr tn: 1561982; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('PROX_near2', 'POS_JJR', "_OSYNSET('FAST.A.02')"); pattern type: l1
len(selected_patterns):535; curr precision: 0.9378; curr recall: 0.1654; curr f1: 0.2811; curr tp: 18049; curr fp: 1197; curr fn: 91102; curr tn: 1561981; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('PROX_near1', "SYNSET('STAY.V.01')", "_OSYNSET('SMALL.A.01')"); pattern type: l1
len(selected_patterns):536; curr precision: 0.9375; curr recall: 0.1656; curr f1: 0.2814; curr tp: 18070; curr fp: 1204; curr fn: 91081; curr tn: 1561974; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('PROX_near1', "_OSYNSET('DESIRE.V.01')", 'POS_WRB'); pattern type: l1
len(selected_patterns):537; curr precision: 0.9375; curr recall: 0.1656; curr f1: 0.2814; curr tp: 18071; curr fp: 1204; curr fn: 91080; curr tn: 1561974; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('PROX_near1', 'POS_VBG', "_OSYNSET('FAST.A.02')"); pattern type: l1
len(selected_patterns):538; curr precision: 0.9374; curr recall: 0.1656; curr f1: 0.2814; curr tp: 18073; curr fp: 1206; curr fn: 91078; curr tn: 1561972; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('DEP_parataxis', "_OSYNSET('GOOD.A.01')", 'POS_NN'); pattern type: l1
len(selected_patterns):539; curr precision: 0.9372; curr recall: 0.1657; curr f1: 0.2816; curr tp: 18085; curr fp: 1212; curr fn: 91066; curr tn: 1561966; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('DEP_conj', "SYNSET('NEED.V.03')", '_OPOS_J'); pattern type: l1
len(selected_patterns):540; curr precision: 0.9372; curr recall: 0.1657; curr f1: 0.2816; curr tp: 18086; curr fp: 1212; curr fn: 91065; curr tn: 1561966; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('DEP_obj', "_OSYNSET('LOVE.V.01')", "SYNSET('PHYSICAL_ENTITY.N.01')"); pattern type: l1
len(selected_patterns):541; curr precision: 0.9372; curr recall: 0.1657; curr f1: 0.2816; curr tp: 18087; curr fp: 1212; curr fn: 91064; curr tn: 1561966; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('DEP_advcl', 'WORD', "_OSYNSET('CHEAP.A.01')"); pattern type: l1
len(selected_patterns):542; curr precision: 0.9371; curr recall: 0.1658; curr f1: 0.2817; curr tp: 18097; curr fp: 1215; curr fn: 91054; curr tn: 1561963; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: ('SRL_argm-cau', 'POS_VBD', "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):543; curr precision: 0.9368; curr recall: 0.1659; curr f1: 0.2818; curr tp: 18103; curr fp: 1222; curr fn: 91048; curr tn: 1561956; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('SRL_argm-mnr', "SYNSET('SATISFY.V.01')", '_OPOS_J'); pattern type: l1
len(selected_patterns):544; curr precision: 0.9367; curr recall: 0.1659; curr f1: 0.2819; curr tp: 18112; curr fp: 1223; curr fn: 91039; curr tn: 1561955; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_advmod', "_OSYNSET('CHEAP.A.01')", "SYNSET('VERY.R.02')"); pattern type: l1
len(selected_patterns):545; curr precision: 0.9367; curr recall: 0.1661; curr f1: 0.2821; curr tp: 18127; curr fp: 1226; curr fn: 91024; curr tn: 1561952; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_advmod', "_OSYNSET('SMALL.A.01')", "SYNSET('NOT.R.01')"); pattern type: l1
len(selected_patterns):546; curr precision: 0.9367; curr recall: 0.1661; curr f1: 0.2822; curr tp: 18130; curr fp: 1226; curr fn: 91021; curr tn: 1561952; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_parataxis', 'WORD', "_OSYNSET('CHEAP.A.01')"); pattern type: l1
len(selected_patterns):547; curr precision: 0.9367; curr recall: 0.1662; curr f1: 0.2823; curr tp: 18142; curr fp: 1226; curr fn: 91009; curr tn: 1561952; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_nsubj', '_OPOS_J', "SYNSET('ATTRIBUTE.N.02')"); pattern type: l1
len(selected_patterns):548; curr precision: 0.9367; curr recall: 0.1662; curr f1: 0.2824; curr tp: 18146; curr fp: 1226; curr fn: 91005; curr tn: 1561952; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_conj', 'POS_VBZ', "_OSYNSET('FAST.A.02')"); pattern type: l1
len(selected_patterns):549; curr precision: 0.9366; curr recall: 0.1663; curr f1: 0.2824; curr tp: 18151; curr fp: 1228; curr fn: 91000; curr tn: 1561950; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('PROX_near2', 'POS_VBP', "_OSYNSET('REGRETFUL.A.01')"); pattern type: l1
len(selected_patterns):550; curr precision: 0.9366; curr recall: 0.1664; curr f1: 0.2826; curr tp: 18162; curr fp: 1230; curr fn: 90989; curr tn: 1561948; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('SRL_argm-cau', "_OSYNSET('LOVE.V.01')", 'POS_DT'); pattern type: l1
len(selected_patterns):551; curr precision: 0.9366; curr recall: 0.1664; curr f1: 0.2826; curr tp: 18163; curr fp: 1230; curr fn: 90988; curr tn: 1561948; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_advmod', "_OSYNSET('REGRETFUL.A.01')", "SYNSET('EQUALLY.R.01')"); pattern type: l1
len(selected_patterns):552; curr precision: 0.9366; curr recall: 0.1665; curr f1: 0.2827; curr tp: 18169; curr fp: 1230; curr fn: 90982; curr tn: 1561948; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('SRL_argm-adv', "_OSYNSET('LOVE.V.01')", 'POS_VB'); pattern type: l1
len(selected_patterns):553; curr precision: 0.9366; curr recall: 0.1666; curr f1: 0.2828; curr tp: 18182; curr fp: 1231; curr fn: 90969; curr tn: 1561947; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('SRL_none', 'POS_RB', '_OPOS_J'); pattern type: l1
len(selected_patterns):554; curr precision: 0.9366; curr recall: 0.1666; curr f1: 0.283; curr tp: 18190; curr fp: 1232; curr fn: 90961; curr tn: 1561946; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('SRL_arg1', 'POS_VBN', "_OSYNSET('REGRETFUL.A.01')"); pattern type: l1
len(selected_patterns):555; curr precision: 0.9364; curr recall: 0.1668; curr f1: 0.2831; curr tp: 18201; curr fp: 1236; curr fn: 90950; curr tn: 1561942; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_csubj', '_OPOS_J', "SYNSET('GET.V.01')"); pattern type: l1
len(selected_patterns):556; curr precision: 0.9364; curr recall: 0.1669; curr f1: 0.2832; curr tp: 18213; curr fp: 1238; curr fn: 90938; curr tn: 1561940; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('SRL_argm-dis', "_OSYNSET('LOVE.V.01')", 'POS_CC'); pattern type: l1
len(selected_patterns):557; curr precision: 0.9363; curr recall: 0.167; curr f1: 0.2835; curr tp: 18233; curr fp: 1240; curr fn: 90918; curr tn: 1561938; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_advcl', "_OSYNSET('UNVOICED.A.01')", 'WORD'); pattern type: l1
len(selected_patterns):558; curr precision: 0.9362; curr recall: 0.1672; curr f1: 0.2837; curr tp: 18248; curr fp: 1243; curr fn: 90903; curr tn: 1561935; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_aux', '_OPOS_J', "SYNSET('SPEND.V.01')"); pattern type: l1
len(selected_patterns):559; curr precision: 0.9362; curr recall: 0.1672; curr f1: 0.2837; curr tp: 18250; curr fp: 1243; curr fn: 90901; curr tn: 1561935; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('PROX_near2', 'POS_NNP', "_OSYNSET('GOOD.A.03')"); pattern type: l1
len(selected_patterns):560; curr precision: 0.9362; curr recall: 0.1672; curr f1: 0.2837; curr tp: 18251; curr fp: 1243; curr fn: 90900; curr tn: 1561935; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('PROX_near1', 'POS_NN', "_OSYNSET('GOOD.A.03')"); pattern type: l1
len(selected_patterns):561; curr precision: 0.9357; curr recall: 0.1674; curr f1: 0.284; curr tp: 18269; curr fp: 1256; curr fn: 90882; curr tn: 1561922; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('SRL_argm-tmp', '_OPOS_J', 'POS_PRP'); pattern type: l1
len(selected_patterns):562; curr precision: 0.9357; curr recall: 0.1674; curr f1: 0.284; curr tp: 18271; curr fp: 1256; curr fn: 90880; curr tn: 1561922; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_nmod:poss', "_OSYNSET('FAST.A.02')", 'WORD'); pattern type: l1
len(selected_patterns):563; curr precision: 0.9356; curr recall: 0.1674; curr f1: 0.2841; curr tp: 18277; curr fp: 1258; curr fn: 90874; curr tn: 1561920; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('PROX_near1', 'POS_VBN', "_OSYNSET('DIFFICULTY.N.02')"); pattern type: l1
len(selected_patterns):564; curr precision: 0.9356; curr recall: 0.1675; curr f1: 0.2841; curr tp: 18278; curr fp: 1258; curr fn: 90873; curr tn: 1561920; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('PROX_near2', 'POS_CD', "_OSYNSET('FAST.A.02')"); pattern type: l1
len(selected_patterns):565; curr precision: 0.9356; curr recall: 0.1675; curr f1: 0.2841; curr tp: 18282; curr fp: 1258; curr fn: 90869; curr tn: 1561920; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('PROX_near1', "SYNSET('EQUAL.V.01')", "_OSYNSET('LARGE.A.01')"); pattern type: l1
len(selected_patterns):566; curr precision: 0.9351; curr recall: 0.1676; curr f1: 0.2842; curr tp: 18293; curr fp: 1270; curr fn: 90858; curr tn: 1561908; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('SRL_argm-adv', 'POS_VBZ', "_OSYNSET('DIFFICULTY.N.02')"); pattern type: l1
len(selected_patterns):567; curr precision: 0.9351; curr recall: 0.1677; curr f1: 0.2844; curr tp: 18303; curr fp: 1271; curr fn: 90848; curr tn: 1561907; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_csubj', '_OPOS_J', "SYNSET('MAKE.V.03')"); pattern type: l1
len(selected_patterns):568; curr precision: 0.9348; curr recall: 0.1678; curr f1: 0.2845; curr tp: 18316; curr fp: 1278; curr fn: 90835; curr tn: 1561900; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_conj', 'POS_VBZ', "_OSYNSET('LOVE.V.01')"); pattern type: l1
len(selected_patterns):569; curr precision: 0.9345; curr recall: 0.168; curr f1: 0.2848; curr tp: 18334; curr fp: 1284; curr fn: 90817; curr tn: 1561894; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('DEP_conj', '_OPOS_J', "SYNSET('INFORM.V.01')"); pattern type: l1
len(selected_patterns):570; curr precision: 0.9346; curr recall: 0.168; curr f1: 0.2848; curr tp: 18335; curr fp: 1284; curr fn: 90816; curr tn: 1561894; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('PROX_near2', 'POS_RB', "_OSYNSET('FINE.A.05')"); pattern type: l1
len(selected_patterns):571; curr precision: 0.9344; curr recall: 0.168; curr f1: 0.2849; curr tp: 18342; curr fp: 1288; curr fn: 90809; curr tn: 1561890; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: ('PROX_near2', "SYNSET('STAY.V.01')", "_OSYNSET('SMALL.A.01')"); pattern type: l1
len(selected_patterns):572; curr precision: 0.9342; curr recall: 0.1682; curr f1: 0.285; curr tp: 18355; curr fp: 1293; curr fn: 90796; curr tn: 1561885; precision of pattern: 1.0; tp, abs. recall of pattern: 19; pattern: ('DEP_conj', "SYNSET('DOOR.N.01')", '_OPOS_J'); pattern type: l1
len(selected_patterns):573; curr precision: 0.9342; curr recall: 0.1683; curr f1: 0.2851; curr tp: 18365; curr fp: 1294; curr fn: 90786; curr tn: 1561884; precision of pattern: 1.0; tp, abs. recall of pattern: 19; pattern: ('DEP_parataxis', "SYNSET('SMALL.A.01')", '_OPOS_J'); pattern type: l1
len(selected_patterns):574; curr precision: 0.9341; curr recall: 0.1683; curr f1: 0.2852; curr tp: 18371; curr fp: 1296; curr fn: 90780; curr tn: 1561882; precision of pattern: 1.0; tp, abs. recall of pattern: 19; pattern: ('PROX_near2', 'POS_NN', "_OSYNSET('COPULATE.V.01')"); pattern type: l1
len(selected_patterns):575; curr precision: 0.9341; curr recall: 0.1683; curr f1: 0.2852; curr tp: 18372; curr fp: 1296; curr fn: 90779; curr tn: 1561882; precision of pattern: 1.0; tp, abs. recall of pattern: 19; pattern: ('DEP_parataxis', 'WORD', "_OSYNSET('FINE.A.05')"); pattern type: l1
len(selected_patterns):576; curr precision: 0.9341; curr recall: 0.1684; curr f1: 0.2854; curr tp: 18383; curr fp: 1297; curr fn: 90768; curr tn: 1561881; precision of pattern: 1.0; tp, abs. recall of pattern: 19; pattern: ('PROX_near1', 'POS_VBZ', "_OSYNSET('HAPPY.A.01')"); pattern type: l1
len(selected_patterns):577; curr precision: 0.934; curr recall: 0.1685; curr f1: 0.2855; curr tp: 18389; curr fp: 1299; curr fn: 90762; curr tn: 1561879; precision of pattern: 1.0; tp, abs. recall of pattern: 19; pattern: ('PROX_near2', "_OSYNSET('GOOD.A.03')", 'POS_TO'); pattern type: l1
len(selected_patterns):578; curr precision: 0.9341; curr recall: 0.1686; curr f1: 0.2856; curr tp: 18402; curr fp: 1299; curr fn: 90749; curr tn: 1561879; precision of pattern: 1.0; tp, abs. recall of pattern: 19; pattern: ('DEP_nsubj', "_OSYNSET('DIFFICULTY.N.02')", 'POS_PRP'); pattern type: l1
len(selected_patterns):579; curr precision: 0.9341; curr recall: 0.1688; curr f1: 0.2859; curr tp: 18421; curr fp: 1300; curr fn: 90730; curr tn: 1561878; precision of pattern: 1.0; tp, abs. recall of pattern: 19; pattern: ('PROX_near1', 'POS_VBD', "_OSYNSET('DIFFICULTY.N.03')"); pattern type: l1
